|    wave | ion | NIST | Instr | amplitude |         Source |
| 11081.9 |  Ar |    1 |    32 |        10 | gemini_webpage |
| 11109.5 |  Ar |    1 |    32 |         3 | gemini_webpage |
| 11396.8 |  Ar |    1 |    32 |         8 | gemini_webpage |
| 11445.0 |  Ar |    1 |    32 |        12 | gemini_webpage |
| 11470.7 |  Ar |    1 |    32 |         6 | gemini_webpage |
| 11491.2 |  Ar |    1 |    32 |       120 | gemini_webpage |
| 11583.5 |  Ar |    1 |    32 |         1 | gemini_webpage |
| 11671.9 |  Ar |    1 |    32 |       200 | gemini_webpage |
| 11690.8 |  Ar |    1 |    32 |         1 | gemini_webpage |
| 11722.7 |  Ar |    1 |    32 |        10 | gemini_webpage |
| 11736.4 |  Ar |    1 |    32 |         9 | gemini_webpage |
| 11887.7 |  Ar |    1 |    32 |         4 | gemini_webpage |
| 11899.9 |  Ar |    1 |    32 |         1 | gemini_webpage |
| 11946.6 |  Ar |    1 |    32 |        12 | gemini_webpage |
| 11947.1 |  Ar |    1 |    32 |       1.0 | gemini_webpage |
| 12029.9 |  Ar |    1 |    32 |         2 | gemini_webpage |
| 12115.6 |  Ar |    1 |    32 |       150 | gemini_webpage |
| 12143.0 |  Ar |    1 |    32 |        30 | gemini_webpage |
| 12154.7 |  Ar |    1 |    32 |         2 | gemini_webpage |
| 12346.8 |  Ar |    1 |    32 |        30 | gemini_webpage |
| 12359.7 |  Ar |    1 |    32 |        10 | gemini_webpage |
| 12406.2 |  Ar |    1 |    32 |       100 | gemini_webpage |
| 12442.7 |  Ar |    1 |    32 |       300 | gemini_webpage |
| 12459.5 |  Ar |    1 |    32 |       100 | gemini_webpage |
| 12491.1 |  Ar |    1 |    32 |       200 | gemini_webpage |
| 12557.7 |  Ar |    1 |    32 |         2 | gemini_webpage |
| 12625.1 |  Ar |    1 |    32 |         2 | gemini_webpage |
| 12705.7 |  Ar |    1 |    32 |       100 | gemini_webpage |
| 12736.9 |  Ar |    1 |    32 |        30 | gemini_webpage |
| 12749.7 |  Ar |    1 |    32 |        12 | gemini_webpage |
| 12806.2 |  Ar |    1 |    32 |       200 | gemini_webpage |
| 12936.7 |  Ar |    1 |    32 |        40 | gemini_webpage |
| 12960.2 |  Ar |    1 |    32 |       500 | gemini_webpage |
| 13011.8 |  Ar |    1 |    32 |       200 | gemini_webpage |
| 13032.0 |  Ar |    1 |    32 |         2 | gemini_webpage |
| 13217.6 |  Ar |    1 |    32 |       200 | gemini_webpage |
| 13231.7 |  Ar |    1 |    32 |       200 | gemini_webpage |
| 13234.5 |  Ar |    1 |    32 |       200 | gemini_webpage |
| 13276.3 |  Ar |    1 |    32 |       500 | gemini_webpage |
| 13305.9 |  Ar |    1 |    32 |         4 | gemini_webpage |
| 13316.8 |  Ar |    1 |    32 |       800 | gemini_webpage |
| 13333.8 |  Ar |    1 |    32 |         6 | gemini_webpage |
| 13370.8 |  Ar |    1 |    32 |      1000 | gemini_webpage |
| 13410.2 |  Ar |    1 |    32 |       100 | gemini_webpage |
| 13503.1 |  Ar |    1 |    32 |        30 | gemini_webpage |
| 13507.9 |  Ar |    1 |    32 |      1000 | gemini_webpage |
| 13547.9 |  Ar |    1 |    32 |         8 | gemini_webpage |
| 13577.3 |  Ar |    1 |    32 |        12 | gemini_webpage |
| 13603.0 |  Ar |    1 |    32 |        40 | gemini_webpage |
| 13626.4 |  Ar |    1 |    32 |       400 | gemini_webpage |
| 13682.3 |  Ar |    1 |    32 |       200 | gemini_webpage |
| 13722.3 |  Ar |    1 |    32 |      1000 | gemini_webpage |
| 13829.5 |  Ar |    1 |    32 |       1.0 | gemini_webpage |
| 13832.1 |  Ar |    1 |    32 |         9 | gemini_webpage |
| 13911.3 |  Ar |    1 |    32 |         8 | gemini_webpage |
| 13914.4 |  Ar |    1 |    32 |        50 | gemini_webpage |
| 14097.5 |  Ar |    1 |    32 |       150 | gemini_webpage |
| 14253.1 |  Ar |    1 |    32 |         8 | gemini_webpage |
| 14260.8 |  Ar |    1 |    32 |        13 | gemini_webpage |
| 14599.7 |  Ar |    1 |    32 |        11 | gemini_webpage |
| 14600.5 |  Ar |    1 |    32 |       1.0 | gemini_webpage |
| 14638.4 |  Ar |    1 |    32 |        30 | gemini_webpage |
| 14654.3 |  Ar |    1 |    32 |        30 | gemini_webpage |
| 14697.4 |  Ar |    1 |    32 |         4 | gemini_webpage |
| 14743.2 |  Ar |    1 |    32 |         5 | gemini_webpage |
| 15050.6 |  Ar |    1 |    32 |       100 | gemini_webpage |
| 15176.8 |  Ar |    1 |    32 |        25 | gemini_webpage |
| 15306.1 |  Ar |    1 |    32 |        40 | gemini_webpage |
| 15333.5 |  Ar |    1 |    32 |         9 | gemini_webpage |
| 15353.0 |  Ar |    1 |    32 |         7 | gemini_webpage |
| 15357.3 |  Ar |    1 |    32 |         3 | gemini_webpage |
| 15406.8 |  Ar |    1 |    32 |         6 | gemini_webpage |
| 15904.0 |  Ar |    1 |    32 |        10 | gemini_webpage |
| 15993.9 |  Ar |    1 |    32 |        25 | gemini_webpage |
| 16127.1 |  Ar |    1 |    32 |         1 | gemini_webpage |
| 16184.4 |  Ar |    1 |    32 |         4 | gemini_webpage |
| 16441.1 |  Ar |    1 |    32 |        13 | gemini_webpage |
| 16524.4 |  Ar |    1 |    32 |        30 | gemini_webpage |
| 16553.8 |  Ar |    1 |    32 |         8 | gemini_webpage |
| 16744.6 |  Ar |    1 |    32 |         9 | gemini_webpage |
| 16945.2 |  Ar |    1 |    32 |       500 | gemini_webpage |
| 17449.7 |  Ar |    1 |    32 |        11 | gemini_webpage |
| 17450.0 |  Ar |    1 |    32 |       1.0 | gemini_webpage |
| 17828.9 |  Ar |    1 |    32 |         5 | gemini_webpage |
| 17919.6 |  Ar |    1 |    32 |        40 | gemini_webpage |
| 18423.2 |  Ar |    1 |    32 |         2 | gemini_webpage |
| 18432.8 |  Ar |    1 |    32 |        10 | gemini_webpage |
| 18433.4 |  Ar |    1 |    32 |       1.0 | gemini_webpage |
| 18434.5 |  Ar |    1 |    32 |       1.0 | gemini_webpage |
| 19822.9 |  Ar |    1 |    32 |         5 | gemini_webpage |
| 19971.2 |  Ar |    1 |    32 |         4 | gemini_webpage |
| 20322.6 |  Ar |    1 |    32 |         2 | gemini_webpage |
| 20621.9 |  Ar |    1 |    32 |        50 | gemini_webpage |
| 20652.8 |  Ar |    1 |    32 |         2 | gemini_webpage |
| 20739.3 |  Ar |    1 |    32 |         2 | gemini_webpage |
| 20741.0 |  Ar |    1 |    32 |       1.0 | gemini_webpage |
| 20816.7 |  Ar |    1 |    32 |         2 | gemini_webpage |
| 20991.8 |  Ar |    1 |    32 |        30 | gemini_webpage |
| 21338.7 |  Ar |    1 |    32 |         1 | gemini_webpage |
| 21540.1 |  Ar |    1 |    32 |         8 | gemini_webpage |
| 22045.6 |  Ar |    1 |    32 |         1 | gemini_webpage |
| 22083.2 |  Ar |    1 |    32 |         8 | gemini_webpage |
| 23139.5 |  Ar |    1 |    32 |        20 | gemini_webpage |
| 23851.5 |  Ar |    1 |    32 |         1 | gemini_webpage |
| 23973.1 |  Ar |    1 |    32 |        20 | gemini_webpage |
| 25132.1 |  Ar |    1 |    32 |        25 | gemini_webpage |
| 25491.6 |  Ar |    1 |    32 |         3 | gemini_webpage |
| 25512.2 |  Ar |    1 |    32 |         8 | gemini_webpage |
| 25668.0 |  Ar |    1 |    32 |        10 | gemini_webpage |
| 26843.0 |  Ar |    1 |    32 |         4 | gemini_webpage |
| 26917.1 |  Ar |    1 |    32 |        40 | gemini_webpage |
| 27233.0 |  Ar |    1 |    32 |         3 | gemini_webpage |
| 28202.4 |  Ar |    1 |    32 |        30 | gemini_webpage |
| 28246.0 |  Ar |    1 |    32 |        30 | gemini_webpage |
| 28321.8 |  Ar |    1 |    32 |        25 | gemini_webpage |
| 28435.0 |  Ar |    1 |    32 |         1 | gemini_webpage |
| 28538.4 |  Ar |    1 |    32 |         3 | gemini_webpage |
| 28620.2 |  Ar |    1 |    32 |       200 | gemini_webpage |
| 28697.9 |  Ar |    1 |    32 |        50 | gemini_webpage |
| 28712.8 |  Ar |    1 |    32 |         5 | gemini_webpage |
| 28782.9 |  Ar |    1 |    32 |       500 | gemini_webpage |
| 28843.1 |  Ar |    1 |    32 |       100 | gemini_webpage |
| 28989.2 |  Ar |    1 |    32 |         2 | gemini_webpage |
| 29108.5 |  Ar |    1 |    32 |         3 | gemini_webpage |
| 29134.8 |  Ar |    1 |    32 |        50 | gemini_webpage |
| 29262.9 |  Ar |    1 |    32 |         4 | gemini_webpage |
| 29280.7 |  Ar |    1 |    32 |        20 | gemini_webpage |
| 29566.3 |  Ar |    1 |    32 |         3 | gemini_webpage |
| 29796.8 |  Ar |    1 |    32 |       250 | gemini_webpage |
| 30462.1 |  Ar |    1 |    32 |         4 | gemini_webpage |
| 30552.8 |  Ar |    1 |    32 |         2 | gemini_webpage |
| 30996.2 |  Ar |    1 |    32 |        10 | gemini_webpage |
| 31333.0 |  Ar |    1 |    32 |       100 | gemini_webpage |
| 31727.3 |  Ar |    1 |    32 |         5 | gemini_webpage |
| 32256.3 |  Ar |    1 |    32 |         3 | gemini_webpage |
| 32305.9 |  Ar |    1 |    32 |         1 | gemini_webpage |
| 32333.9 |  Ar |    1 |    32 |         5 | gemini_webpage |
| 32888.6 |  Ar |    1 |    32 |         4 | gemini_webpage |
| 33078.8 |  Ar |    1 |    32 |        15 | gemini_webpage |
| 33148.4 |  Ar |    1 |    32 |        15 | gemini_webpage |
| 33293.4 |  Ar |    1 |    32 |        10 | gemini_webpage |
| 34960.5 |  Ar |    1 |    32 |         1 | gemini_webpage |
| 36220.9 |  Ar |    1 |    32 |         8 | gemini_webpage |
| 36312.4 |  Ar |    1 |    32 |         3 | gemini_webpage |
| 36390.5 |  Ar |    1 |    32 |         2 | gemini_webpage |
| 36395.0 |  Ar |    1 |    32 |         2 | gemini_webpage |
| 36492.0 |  Ar |    1 |    32 |        10 | gemini_webpage |
| 37013.6 |  Ar |    1 |    32 |         2 | gemini_webpage |
| 37085.9 |  Ar |    1 |    32 |         5 | gemini_webpage |
| 37143.5 |  Ar |    1 |    32 |         3 | gemini_webpage |
| 37186.2 |  Ar |    1 |    32 |         1 | gemini_webpage |
| 37261.2 |  Ar |    1 |    32 |         2 | gemini_webpage |
| 38120.7 |  Ar |    1 |    32 |         3 | gemini_webpage |
| 38331.2 |  Ar |    1 |    32 |         1 | gemini_webpage |
| 39664.3 |  Ar |    1 |    32 |         1 | gemini_webpage |
| 39670.7 |  Ar |    1 |    32 |         1 | gemini_webpage |
| 40080.4 |  Ar |    1 |    32 |         2 | gemini_webpage |
| 40164.8 |  Ar |    1 |    32 |         1 | gemini_webpage |
| 40169.7 |  Ar |    1 |    32 |         1 | gemini_webpage |
| 40433.1 |  Ar |    1 |    32 |         3 | gemini_webpage |
