|      wave | amplitude | ion | NIST | Instr |                         Source |
|  9479.561 |      53.8 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
|  9505.418 |      16.1 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
|  9521.793 |      40.6 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
|  9555.199 |      10.3 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
|  9569.714 |      23.1 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
|  9570.213 |      23.1 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
|  9610.463 |      5.07 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
|   9623.27 |      10.4 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
|  9671.524 |      5.24 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
|  9676.818 |      2.69 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
|  9682.607 |      3.76 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
|  9683.466 |      3.76 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
|  9684.994 |      15.2 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
|  9693.122 |      7.12 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
|  9701.923 |      31.8 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
|  9714.365 |      13.2 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
|  9722.447 |      40.8 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
|  9740.727 |      14.9 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
|   9792.09 |      12.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
|  9793.797 |     110.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
|  9802.337 |      38.1 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
|  9814.717 |      12.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
|  9851.095 |     0.709 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
|  9874.768 |      81.6 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
|  9897.479 |      30.1 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
|  9917.532 |      84.3 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
|  9944.353 |      22.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
|  9944.923 |      10.7 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
|  9948.022 |      22.5 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
|  9949.212 |      34.7 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
|  9950.418 |      9.61 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
|  9951.055 |      4.12 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
|  9959.286 |      36.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
|  9962.996 |       1.3 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
|  9964.447 |      54.1 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
|  9975.079 |      12.6 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10002.832 |      11.7 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10014.064 |      8.85 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
|  10015.48 |  1.66e-05 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10016.438 |      24.9 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10017.025 |      24.9 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10024.046 |      2.84 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10028.173 |      33.9 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10033.754 |   0.00815 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10046.206 |      13.2 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10046.326 |      13.2 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10063.407 |      17.8 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10085.175 |      59.6 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10106.425 |      24.3 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10126.898 |      70.5 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10155.738 |      21.7 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10161.166 |      17.6 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10167.089 |      8.93 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10174.676 |      55.1 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10183.783 |      22.2 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10192.425 |      95.4 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10205.839 |      39.1 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10211.608 |      14.5 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10213.802 |     118.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10228.312 |      32.9 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10228.815 |  7.34e-11 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10228.861 |      32.9 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10233.429 |      42.5 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10233.499 |      42.5 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10273.805 |      7.56 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10287.576 |      33.4 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10289.464 |     308.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10298.824 |     109.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10312.298 |      35.7 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10312.391 |      35.7 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
|  10343.03 |      3.16 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10349.952 |   0.00888 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10356.342 |       6.1 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10357.312 |       6.1 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10375.641 |     225.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
|  10399.36 |      84.1 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10421.366 |     237.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10430.798 |      1.95 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10432.012 |      1.95 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10453.395 |      64.6 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10472.057 |     157.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10511.916 |      34.9 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10527.346 |      75.3 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10527.969 |      75.3 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10575.569 |      13.9 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
