# 6-3-2018 from TRIPLESPEC_OH.lst at https://github.com/profxj/xidl/tree/master/Spec/Longslit/pro/TRIPLESPEC
|       wave | ion | NIST | Instr | amplitude |           Source |
|  8016.2674 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  8028.0092 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  8054.2285 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  8064.4015 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  8104.7308 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  8283.5257 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  8290.5309 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  8300.5763 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|   8313.005 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  8346.7638 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  8355.0759 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  8367.0133 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  8384.4497 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  8401.4723 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  8417.5385 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  8432.4889 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  8454.5674 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  8467.6889 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  8495.7204 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  8507.1779 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  8541.0196 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  8551.0593 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  8599.3992 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  8763.2173 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  8770.0372 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  8780.2148 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  8793.6016 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|   8829.382 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  8838.7861 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  8852.2516 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|   8869.987 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|   8888.286 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  8905.5529 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  8922.0899 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  8945.8452 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|   8960.538 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|    8990.84 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  9003.8116 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  9040.5385 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  9052.0164 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  9095.0644 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|   9105.267 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  9310.4716 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  9325.9566 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  9340.4152 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|   9378.396 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  9389.2039 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  9404.6602 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  9422.7039 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  9442.2358 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  9461.1283 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  9479.4602 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  9505.4281 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|    9521.97 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  9555.1607 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  9569.9587 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  9610.3672 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  9623.6079 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  9661.7396 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  9684.5773 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  9693.1632 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  9701.9952 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  9714.3718 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  9722.5016 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  9740.7544 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  9748.2248 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  9793.6678 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  9802.2211 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  9814.5479 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  9830.9159 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  9851.1842 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  9874.8484 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  9897.4559 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  9917.3838 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  9962.0746 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  9975.0807 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  10002.745 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  10015.691 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  10028.121 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  10046.251 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  10063.179 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  10085.237 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  10106.375 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  10126.765 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  10134.986 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  10174.676 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  10183.824 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  10192.505 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  10206.025 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  10213.654 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  10230.912 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  10273.902 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  10289.312 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  10298.691 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  10312.235 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  10330.014 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  10375.726 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|   10399.39 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  10421.219 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  10431.412 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  10453.358 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  10471.827 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  10512.011 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  10527.663 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  10575.407 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  10588.758 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  10643.681 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  10655.211 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  10691.744 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  10700.004 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  10713.678 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  10723.418 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  10731.709 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|   10746.17 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  10753.919 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  10775.054 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  10834.119 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  10844.569 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  10859.547 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  10879.189 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  10898.698 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  10926.427 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  10951.355 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  10975.335 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  11009.287 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  11029.822 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  11072.461 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|   11090.03 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  11140.917 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  11156.041 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
| 11214.7989 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  11227.948 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  11312.803 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  11324.121 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  11331.188 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  11377.139 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  11439.766 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  11451.464 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  11468.262 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  11490.269 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  11508.624 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  11538.797 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|   11549.49 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  11565.245 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  11591.677 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|   11627.85 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  11650.739 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  11696.356 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  11716.145 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  11770.823 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  11788.036 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
|  11851.449 |  OH |    1 |    32 |   10000.0 | tspec_PYPIT.json |
