# wave     flg ID
  3080.8220 3 Cd
  3082.5930 3 Cd
  3125.67   3 Hg
  3129.4400 3 HgIblend
  3131.70   1 Hg
  3133.1670 3 Cd
  3188.6648 1 Cd I
  3261.055  1 Cd
  3403.65   5 Cd I
  3466.55   5 Cd I
  3610.51   1 Cd I
  3650.15   1 Hg I
  3888.65   5 He I
  4026.36   1 He I
  4046.56   5 Hg I
  4077.83   1 Hg I
  4358.33   5 Hg I
  4471.50   1 He I
  4678.16   1 Cd I
  4799.92   5 Cd I
  4921.931  1 He I
  5015.678  1 He I
  5085.82   5 Cd I
  5460.74   1 Hg I
  5769.59   1 Hg I
  5790.65   1 Hg I
  5875.62   1 He I
