ShaneBechtel,Shane Bechtel,True
EdwardBetts,Edward Betts,True
MNBrod,Max Brodheim,True
Adolfo1519,Adolfo Carvalho,True
chloe-mt-cheng,Chloe Cheng,True
rcooke-ast,Ryan Cooke,True
freddavies,Fred Davies,True
gdoppmann,Greg Doppmann,True
tbowers7,Timothy Ellsworth-Bowers,True
EmAstro,Emanuele Paolo Farina,True
afloers,Andreas Flörs,True
dfm,Dan Foreman-Mackey,True
jhennawi,Joseph Hennawi,True
bpholden,Brad Holden,True
jchowk,Chris Howk,True
tiffanyhsyu,Tiffany Hsyu,True
jwisbell,Jacob Isbell,True
ejeschke,Eric Jeschke,True
Raindogjones,David Jones,True
charliekilpatrick,Charles D. Kilpatrick,True
opkuhn,Olga Kuhn,True
finagle29,Milan Sharma Mandigo-Stoba,True
hnmartin,Heather Martin,True
Allonck,Chris Montalbán,True
isabelmontoyaa,Isabel Montoya Arroyave,True
Rik-ad-astra,Riccardo Nanni,True
jhod0,Jackson O'Donnell,True
SilviaOnorato,Silvia Onorato,True
debora-pe,Debora Pelliccia,True
tepickering,Timothy Pickering,True
profxj,J\. Xavier Prochaska,True
badpandabear,Dusty Reichwein,True
NathanSandford,Nathan Sandford,True
VascoSch92,Vasco Schiavo,True
jtschindler,JT Schindler,True
SunilSimha,Sunhil Simha,True
gregosimo,Gregory Simonian,True
marijana777,Marijana Smailagic,True
ntejos,Nicolas Tejos,True
kthyng,Kristen Thyng,True
stinyanont,Kaew Samaporn Tinyanont,True
eteq,Erik Tollerud,True
suksien,Suk Sien Tie,True
zlatanvasovic,Zlatan Vasović,True
FrankVerdi,Frank Verdi,True
AlexaVillaume,Alexa Villaume,True
feigewang,Feige Wang,True
adwasser,Asher Wasserman,True
kbwestfall,Kyle Westfall,True
mattcwilde,Matt Wilde,True
woodml,Mackenna Wood,True
dmyang42,Daming Yang,True
thespacedoctor,David Young,True
CUHKjc,Jichen Zhang,True
gphil1,,False
