|        name |       wave | f_an | f_bl | f_st | intensity |         Ref |                     Comment |
|  Ne 5562.46 |  5562.4576 |    0 |    2 |    0 |     150.0 | NIST,spec2d |                             |
|  Ne 5562.78 |  5562.7817 |    0 |    2 |    0 |     500.0 | NIST,spec2d |                             |
|  Ne 5656.67 |   5656.673 |    0 |    2 |    0 |     500.0 | NIST,spec2d |                             |
|  Ne 5689.83 |  5689.8302 |    0 |    2 |    0 |     150.0 | NIST,spec2d |                             |
|  Ne 5718.90 |  5718.8967 |    0 |    2 |    0 |     150.0 | NIST,spec2d |                             |
|  Ne 5719.24 |  5719.2393 |    0 |    2 |    0 |     500.0 | NIST,spec2d |                             |
|  Ne 5748.31 |  5748.3126 |    0 |    2 |    0 |     500.0 | NIST,spec2d |                             |
|  Ne 5764.43 |  5764.4326 |    0 |    2 |    0 |     700.0 | NIST,spec2d |                             |
|  Ne 5804.46 |  5804.4626 |    0 |    2 |    0 |     500.0 | NIST,spec2d |                             |
|  Ne 5811.42 |  5811.4204 |    1 |    1 |    4 |     300.0 | NIST,spec2d |                             |
|  Ne 5820.17 |  5820.1689 |    0 |    2 |    0 |     500.0 | NIST,spec2d |                             |
|  Ne 5852.50 |  5852.5007 |    1 |    1 |    4 |    2000.0 | NIST,spec2d |                             |
|  Ne 5881.91 |  5881.9079 |    0 |    2 |    0 |    1000.0 | NIST,spec2d |                             |
|  Ne 5902.40 |     5902.4 |    0 |    2 |    0 |      50.0 | NIST,spec2d |                       # DPF |
|  Ne 5944.85 |  5944.8464 |    0 |    2 |    0 |     500.0 | NIST,spec2d |                             |
|  Ne 5965.48 |  5965.4837 |    0 |    2 |    0 |     500.0 | NIST,spec2d |                             |
|  Ne 5975.55 |  5975.5459 |    0 |    2 |    0 |     600.0 | NIST,spec2d |                             |
|  Ne 6030.01 |  6030.0084 |    0 |    2 |    0 |    1000.0 | NIST,spec2d |                             |
|  Ne 6074.35 |   6074.349 |    1 |    1 |    4 |    1000.0 | NIST,spec2d |                             |
|  Ne 6096.17 |  6096.1743 |    0 |    2 |    0 |     300.0 | NIST,spec2d |                             |
|  Ne 6128.46 |  6128.4609 |    1 |    1 |    4 |     100.0 | NIST,spec2d |                             |
|  Ne 6143.07 |  6143.0735 |    0 |    2 |    0 |    1000.0 | NIST,spec2d |                             |
|  Ne 6163.60 |  6163.6046 |    1 |    1 |    4 |    1000.0 | NIST,spec2d |                             |
|  Ne 6182.16 |  6182.1585 |    0 |    2 |    0 |     150.0 | NIST,spec2d |                             |
|  Ne 6217.29 |  6217.2915 |    0 |    2 |    0 |    1000.0 | NIST,spec2d |                             |
|  Ne 6266.51 |   6266.505 |    1 |    1 |    4 |    1000.0 | NIST,spec2d |                             |
|  Ne 6304.80 |  6304.7987 |    0 |    2 |    0 |     100.0 | NIST,spec2d |                             |
|  Ne 6334.44 |  6334.4374 |    0 |    2 |    0 |    1000.0 | NIST,spec2d |                             |
|  Ne 6383.00 |  6383.0009 |    0 |    2 |    0 |    1000.0 | NIST,spec2d |                             |
|  Ne 6402.26 |  6402.2551 |    0 |    2 |    0 |    2000.0 | NIST,spec2d |                             |
|  Ne 6506.54 |  6506.5366 |    1 |    1 |    4 |     100.0 | NIST,spec2d |                             |
|  Ne 6532.89 |  6532.8905 |    1 |    1 |    4 |     100.0 | NIST,spec2d |                             |
|  Ne 6598.96 |  6598.9608 |    1 |    1 |    4 |    1000.0 | NIST,spec2d |                             |
|  Ne 6652.10 |  6652.1002 |    0 |    1 |    3 |     150.0 | NIST,spec2d |                             |
|  Ne 6678.28 |  6678.2837 |    0 |    2 |    0 |     500.0 | NIST,spec2d |                             |
|  Ne 6717.05 |  6717.0502 |    1 |    1 |    4 |      70.0 | NIST,spec2d |                             |
|  Ne 6929.47 |  6929.4732 |    0 |    2 |    0 |    1000.0 | NIST,spec2d |                             |
|  Ne 7024.06 |  7024.0558 |    1 |    1 |    4 |     500.0 | NIST,spec2d |                             |
|  Ne 7032.42 |  7032.4185 |    0 |    2 |    0 |    1000.0 | NIST,spec2d |                             |
|  Ne 7051.30 |  7051.2975 |    0 |    1 |    3 |      70.0 | NIST,spec2d |                             |
|  Ne 7173.94 |  7173.9427 |    1 |    1 |    4 |    1000.0 | NIST,spec2d |                             |
|  Ne 7245.17 |  7245.1707 |    1 |    1 |    4 |    1000.0 | NIST,spec2d |                             |
|  Ne 7438.90 |  7438.9015 |    0 |    2 |    0 |     300.0 | NIST,spec2d |                             |
|  Ne 7472.44 |  7472.4415 |    0 |    1 |    3 |      50.0 | NIST,spec2d |                             |
|  Ne 7488.87 |  7488.8741 |    0 |    2 |    0 |     500.0 | NIST,spec2d |                             |
