# Creation Date: 2018-Oct-05
# Creation Date: 2018-Oct-04
# Creation Date: 2018-Oct-04
# Creation Date: 2018-Oct-04
|  ion |       wave | NIST | Instr | amplitude |                     Source |
| ArII |  3244.6240 |    1 |     0 |     10000 |                       NIST |
| ArII |  3351.8870 |    1 |     0 |     10000 |                       NIST |
| ArII |  3377.4054 |    1 |     0 |     10000 |                       NIST |
| ArII |  3389.5034 |    1 |     0 |     10000 |                       NIST |
| ArII |  3481.5070 |    1 |     0 |     10000 |                       NIST |
| ArII |  3510.7818 |    1 |     0 |     10000 |                       NIST |
| ArII |  3520.9998 |    1 |     0 |     10000 |                       NIST |
| ArII |  3536.3298 |    1 |     0 |     10000 |                       NIST |
| ArII |  3549.5279 |    1 |     0 |     10000 |                       NIST |
| ArII |  3560.5246 |    1 |     0 |     10000 |                       NIST |
| ArII |  3562.0473 |    1 |     0 |     10000 |                       NIST |
| ArII |  3577.6364 |    1 |     0 |     10000 |                       NIST |
| ArII |  3589.4644 |    1 |     0 |     10000 |                       NIST |
| ArII |  3719.2638 |    1 |     0 |     10000 |                       NIST |
| ArII |  3730.3687 |    1 |     0 |     10000 |                       NIST |
| ArII |  3767.18827|    1 |    64 |        44 |                  GMOS_B600 |
| ArII |  3869.6248 |    1 |     0 |     10000 |                       NIST |
| ArII |  3926.8302 |    1 |     0 |     10000 |                       NIST |
| ArII |  3947.2138 |    1 |     0 |     10000 |                       NIST |
| ArII |  3980.4810 |    1 |     0 |     10000 |                       NIST |
| ArII |  3995.9212 |    1 |     0 |     10000 |                       NIST |
| ArII |  4034.9488 |    1 |     0 |     10000 |                       NIST |
| ArII |  4044.0356 |    1 |     0 |     10000 |                       NIST |
| ArII |  4054.06540|    1 |    64 |        44 |                  GMOS_B600 |
| ArII |  4073.15410|    1 |    64 |        44 |                  GMOS_B600 |
| ArII |  4105.0700 |    1 |     0 |     10000 |                       NIST |
| ArII |  4132.8886 |    1 |    64 |        44 |  GMOS_R400_blue_1_fit.json |
| ArII |  4201.0720 |    1 |    64 |       142 |  GMOS_R400_blue_1_fit.json |
| ArII |  4223.82619|    1 |     0 |     10000 |                       NIST |
| ArII |  4238.4126 |    1 |     0 |     10000 |                       NIST |
| ArII |  4278.7316 |    1 |    64 |       135 |  GMOS_R400_blue_1_fit.json |
| ArII |  4301.8591 |    1 |    64 |        52 |  GMOS_R400_blue_1_fit.json |
| ArII |  4332.4170 |    1 |     0 |     10000 |                       NIST |
| ArII |  4338.2899 |    1 |     0 |     10000 |                       NIST |
| ArII |  4349.2858 |    1 |    64 |       104 |  GMOS_R400_blue_1_fit.json |
| ArII |  4353.4281 |    1 |     0 |     10000 |                       NIST |
| ArII |  4363.2919 |    1 |     0 |     10000 |                       NIST |
| ArII |  4369.0589 |    1 |     0 |     10000 |                       NIST |
| ArII |  4380.8971 |    1 |     0 |     10000 |                       NIST |
| ArII |  4386.2885 |    1 |     0 |     10000 |                       NIST |
| ArII |  4401.33237|    1 |    64 |        48 |  GMOS_R400_blue_1_fit.json |
| ArII |  4402.2222 |    1 |    64 |        48 |  GMOS_R400_blue_1_fit.json |
| ArII |  4427.2436 |    1 |     0 |     10000 |                       NIST |
| ArII |  4431.4324 |    1 |     0 |     10000 |                       NIST |
| ArII |  4435.0826 |    1 |     0 |     10000 |                       NIST |
| ArII |  4440.7074 |    1 |     0 |     10000 |                       NIST |
| ArII |  4450.1279 |    1 |     0 |     10000 |                       NIST |
| ArII |  4476.0148 |    1 |     0 |     10000 |                       NIST |
| ArII |  4483.0679 |    1 |     0 |     10000 |                       NIST |
| ArII |  4492.2412 |    1 |     0 |     10000 |                       NIST |
