# Creation Date: 2024-11-16
| ion |       wave | NIST | Instr | amplitude |       Source |
| ArI |  3555.3210 |    1 |     0 |         7 | lbt_mods_ArI |
| ArI |  3607.5510 |    1 |     0 |         7 | lbt_mods_ArI |
| ArI |  3771.4400 |    1 |     0 |        20 | lbt_mods_ArI |
| ArI |  3835.7670 |    1 |     0 |         7 | lbt_mods_ArI |
| ArI |  3950.0970 |    1 |     0 |        35 | lbt_mods_ArI |
| ArI |  4045.5610 |    1 |     0 |        50 | lbt_mods_ArI |
| ArI |  4159.7620 |    1 |     0 |       400 | lbt_mods_ArI |
| ArI |  4165.3540 |    1 |     0 |        50 | lbt_mods_ArI |
| ArI |  4183.0630 |    1 |     0 |        50 | lbt_mods_ArI |
| ArI |  4191.8940 |    1 |     0 |       100 | lbt_mods_ArI |
| ArI |  4201.8580 |    1 |     0 |       400 | lbt_mods_ArI |
| ArI |  4252.3820 |    1 |     0 |        25 | lbt_mods_ArI |
| ArI |  4260.5610 |    1 |     0 |       200 | lbt_mods_ArI |
| ArI |  4267.4870 |    1 |     0 |       100 | lbt_mods_ArI |
| ArI |  4273.3710 |    1 |     0 |       150 | lbt_mods_ArI |
| ArI |  4301.3110 |    1 |     0 |       100 | lbt_mods_ArI |
| ArI |  4334.7790 |    1 |     0 |       100 | lbt_mods_ArI |
| ArI |  4336.5570 |    1 |     0 |        50 | lbt_mods_ArI |
| ArI |  4346.3900 |    1 |     0 |        25 | lbt_mods_ArI |
| ArI |  4511.9980 |    1 |     0 |       100 | lbt_mods_ArI |
| ArI |  4523.5910 |    1 |     0 |        20 | lbt_mods_ArI |
| ArI |  5163.7230 |    1 |     0 |        15 | lbt_mods_ArI |
| ArI |  5189.1910 |    1 |     0 |        20 | lbt_mods_ArI |
| ArI |  5497.4010 |    1 |     0 |        25 | lbt_mods_ArI |
| ArI |  5560.2460 |    1 |     0 |        25 | lbt_mods_ArI |
| ArI |  5608.2900 |    1 |     0 |        35 | lbt_mods_ArI |
| ArI |  5652.2720 |    1 |     0 |        20 | lbt_mods_ArI |
| ArI |  5890.2160 |    1 |     0 |        25 | lbt_mods_ArI |
| ArI |  5913.7230 |    1 |     0 |        50 | lbt_mods_ArI |
| ArI |  6033.7970 |    1 |     0 |        70 | lbt_mods_ArI |
| ArI |  6044.8960 |    1 |     0 |        35 | lbt_mods_ArI |
| ArI |  6061.0500 |    1 |     0 |        20 | lbt_mods_ArI |
| ArI |  6386.4820 |    1 |     0 |        20 | lbt_mods_ArI |
| ArI |  6418.0810 |    1 |     0 |        70 | lbt_mods_ArI |
| ArI |  6679.1260 |    1 |     0 |       100 | lbt_mods_ArI |
| ArI |  6754.6980 |    1 |     0 |       150 | lbt_mods_ArI |
| ArI |  6873.1850 |    1 |     0 |       150 | lbt_mods_ArI |
| ArI |  6939.5780 |    1 |     0 |        50 | lbt_mods_ArI |
| ArI |  6967.3520 |    1 |     0 |     10000 | lbt_mods_ArI |
| ArI |  7032.1900 |    1 |     0 |       150 | lbt_mods_ArI |
| ArI |  7069.1670 |    1 |     0 |     10000 | lbt_mods_ArI |
| ArI |  7070.6850 |    1 |     0 |       100 | lbt_mods_ArI |
| ArI |  7109.4370 |    1 |     0 |        25 | lbt_mods_ArI |
| ArI |  7127.7840 |    1 |     0 |        25 | lbt_mods_ArI |
| ArI |  7149.0120 |    1 |     0 |      1000 | lbt_mods_ArI |
| ArI |  7208.9660 |    1 |     0 |        70 | lbt_mods_ArI |
| ArI |  7274.9400 |    1 |     0 |      2000 | lbt_mods_ArI |
| ArI |  7313.7310 |    1 |     0 |        35 | lbt_mods_ArI |
| ArI |  7318.0210 |    1 |     0 |        25 | lbt_mods_ArI |
| ArI |  7355.3190 |    1 |     0 |        70 | lbt_mods_ArI |
| ArI |  7374.1490 |    1 |     0 |       200 | lbt_mods_ArI |
| ArI |  7386.0140 |    1 |     0 |     10000 | lbt_mods_ArI |
| ArI |  7395.0160 |    1 |     0 |        20 | lbt_mods_ArI |
| ArI |  7437.4160 |    1 |     0 |        25 | lbt_mods_ArI |
| ArI |  7505.9350 |    1 |     0 |     20000 | lbt_mods_ArI |
| ArI |  7516.7210 |    1 |     0 |     15000 | lbt_mods_ArI |
| ArI |  7637.2080 |    1 |     0 |     25000 | lbt_mods_ArI |
| ArI |  7725.8870 |    1 |     0 |     15000 | lbt_mods_ArI |
| ArI |  7726.3330 |    1 |     0 |     10000 | lbt_mods_ArI |
| ArI |  7950.3620 |    1 |     0 |     20000 | lbt_mods_ArI |
| ArI |  8008.3590 |    1 |     0 |     20000 | lbt_mods_ArI |
| ArI |  8016.9900 |    1 |     0 |     25000 | lbt_mods_ArI |
| ArI |  8105.9210 |    1 |     0 |     20000 | lbt_mods_ArI |
| ArI |  8117.5420 |    1 |     0 |     35000 | lbt_mods_ArI |
| ArI |  8266.7940 |    1 |     0 |     10000 | lbt_mods_ArI |
| ArI |  8410.5210 |    1 |     0 |     15000 | lbt_mods_ArI |
| ArI |  8426.9630 |    1 |     0 |     20000 | lbt_mods_ArI |
| ArI |  8523.7830 |    1 |     0 |     15000 | lbt_mods_ArI |
| ArI |  8670.3250 |    1 |     0 |      4500 | lbt_mods_ArI |
| ArI |  9125.4710 |    1 |     0 |     35000 | lbt_mods_ArI |
| ArI |  9197.1610 |    1 |     0 |       550 | lbt_mods_ArI |
| ArI |  9227.0300 |    1 |     0 |     15000 | lbt_mods_ArI |
| ArI |  9294.0810 |    1 |     0 |       400 | lbt_mods_ArI |
| ArI |  9356.7870 |    1 |     0 |      1600 | lbt_mods_ArI |
| ArI |  9660.4350 |    1 |     0 |     25000 | lbt_mods_ArI |
| ArI |  9787.1860 |    1 |     0 |      4500 | lbt_mods_ArI |
| ArI | 10472.9230 |    1 |     0 |      1600 | lbt_mods_ArI |
