# Creation Date: 2018-Oct-07
# Creation Date: 2018-Oct-07
# Creation Date: 2018-Oct-05
# Creation Date: 2018-Oct-04
# Creation Date: 2018-Oct-04
# Creation Date: 2018-Oct-04
# Creation Date: 2018-May-03
# Creation Date: 2018-May-03
# Creation Date: 2017-Mar-26
# Creation Date: 2016-Dec-23
# Creation Date: 2016-Dec-21
| ion |       wave | NIST | Instr | amplitude |                     Source |
| ArI |  4159.7620 |    1 |    64 |        94 |  GMOS_R400_blue_1_fit.json |
| ArI |  4334.7790 |    1 |    64 |        91 |  GMOS_R400_blue_1_fit.json |
| ArI |  4511.9980 |    1 |    64 |        72 |  GMOS_R400_blue_1_fit.json |
| ArI |  5189.1910 |    1 |    64 |        57 |  GMOS_R400_blue_1_fit.json |
| ArI |  5497.4010 |    1 |    64 |        74 | GMOS_R400_blue_15_fit.json |
| ArI |  5560.2460 |    1 |    64 |        74 | GMOS_R400_blue_38_fit.json |
| ArI |  5574.0880 |    1 |    64 |        27 | GMOS_R400_blue_15_fit.json |
| ArI |  5608.2900 |    1 |    64 |        94 | GMOS_R400_blue_38_fit.json |
| ArI |  5652.2720 |    1 |    64 |        46 | GMOS_R400_blue_38_fit.json |
| ArI |  5741.1120 |    1 |    64 |        34 | GMOS_R400_blue_38_fit.json |
| ArI |  5861.9340 |    1 |    64 |        26 | GMOS_R400_blue_15_fit.json |
| ArI |  5890.2160 |    1 |    64 |        51 | GMOS_R400_blue_38_fit.json |
| ArI |  5913.7230 |    1 |    64 |        98 | GMOS_R400_blue_38_fit.json |
| ArI |  5930.4560 |    1 |    64 |        35 | GMOS_R400_blue_38_fit.json |
| ArI |  6044.8960 |    1 |    64 |        60 | GMOS_R400_blue_38_fit.json |
| ArI |  6061.0500 |    1 |    64 |        33 | GMOS_R400_blue_15_fit.json |
| ArI |  6298.6130 |    1 |    64 |        28 | GMOS_R400_blue_15_fit.json |
| ArI |  6309.4010 |    1 |    64 |        32 | GMOS_R400_blue_38_fit.json |
| ArI |  6386.4820 |    1 |    64 |        39 | GMOS_R400_blue_38_fit.json |
| ArI |  6418.0810 |    1 |    64 |       139 | GMOS_R400_blue_38_fit.json |
| ArI |  6679.1260 |    1 |    64 |       188 | GMOS_R400_blue_38_fit.json |
| ArI |  6754.6980 |    1 |    64 |       478 | GMOS_R400_blue_38_fit.json |
