# Created Apr 2022. Wavelengths are in vacuum
|     wave |  ion | NIST | Instr |     amplitude |               Source |
|  8266.79 |  ArI |    1 |    32 |          1890 | keck_mosfire_webpage |
|  8410.52 |  ArI |    1 |    32 |         27660 | keck_mosfire_webpage |
|  8426.96 |  ArI |    1 |    32 |         49500 | keck_mosfire_webpage |
|  8523.78 |  ArI |    1 |    32 |         27100 | keck_mosfire_webpage |
|  8608.14 |  ArI |    1 |    32 |            50 | keck_mosfire_webpage |
|  8670.32 |  ArI |    1 |    32 |          4720 | keck_mosfire_webpage |
|  9125.47 |  ArI |    1 |    32 |         35000 |                 NIST |
|  9294.08 |  ArI |    1 |    32 |           400 |                 NIST |
|  9660.43 |  ArI |    1 |    32 |         35900 | keck_mosfire_webpage |
|  9787.18 |  ArI |    1 |    32 |         12340 | keck_mosfire_webpage |
| 10054.81 |  ArI |    1 |    32 |           300 | keck_mosfire_webpage |
| 10335.55 |  ArI |    1 |    32 |           200 | keck_mosfire_webpage |
| 10472.92 |  ArI |    1 |    32 |         47810 | keck_mosfire_webpage |
| 10676.49 |  ArI |    1 |    32 |         11160 | keck_mosfire_webpage |
| 10703.90 |  ArI |    1 |    32 |           130 | keck_mosfire_webpage |
| 10883.94 |  ArI |    1 |    32 |           490 | keck_mosfire_webpage |
| 10953.74 |  ArI |    1 |    32 |           550 | keck_mosfire_webpage |
| 11081.90 |  ArI |    1 |    32 |           930 | keck_mosfire_webpage |
| 11444.97 |  ArI |    1 |    32 |           180 | keck_mosfire_webpage |
| 11491.25 |  ArI |    1 |    32 |           380 | keck_mosfire_webpage |
| 11671.90 |  ArI |    1 |    32 |          8220 | keck_mosfire_webpage |
| 11722.70 |  ArI |    1 |    32 |          2170 | keck_mosfire_webpage |
| 12029.94 |  ArI |    1 |    32 |          1123 | keck_mosfire_webpage |
| 12115.64 |  ArI |    1 |    32 |         17600 | keck_mosfire_webpage |
| 12143.06 |  ArI |    1 |    32 |         11310 | keck_mosfire_webpage |
| 12346.77 |  ArI |    1 |    32 |           120 | keck_mosfire_webpage |
| 12359.67 |  ArI |    1 |    32 |          9210 | keck_mosfire_webpage |
| 12406.22 |  ArI |    1 |    32 |         12406 | keck_mosfire_webpage |
| 12442.73 |  ArI |    1 |    32 |         57730 | keck_mosfire_webpage |
| 12459.52 |  ArI |    1 |    32 |         12460 | keck_mosfire_webpage |
| 12491.08 |  ArI |    1 |    32 |         12490 | keck_mosfire_webpage |
| 12557.76 |  ArI |    1 |    32 |           600 | keck_mosfire_webpage |
| 12599.66 |  ArI |    1 |    32 |           120 | keck_mosfire_webpage |
| 12641.94 |  ArI |    1 |    32 |           320 | keck_mosfire_webpage |
| 12705.75 |  ArI |    1 |    32 |         17640 | keck_mosfire_webpage |
| 12736.90 |  ArI |    1 |    32 |          5500 | keck_mosfire_webpage |
| 12749.72 |  ArI |    1 |    32 |          4000 | keck_mosfire_webpage |
| 12806.24 |  ArI |    1 |    32 |         18230 | keck_mosfire_webpage |
| 12936.73 |  ArI |    1 |    32 |          8500 | keck_mosfire_webpage |
| 12960.20 |  ArI |    1 |    32 |         67320 | keck_mosfire_webpage |
| 13011.82 |  ArI |    1 |    32 |         15880 | keck_mosfire_webpage |
| 13031.99 |  ArI |    1 |    32 |           850 | keck_mosfire_webpage |
| 13217.61 |  ArI |    1 |    32 |         27410 | keck_mosfire_webpage |
| 13231.72 |  ArI |    1 |    32 |         25290 | keck_mosfire_webpage |
| 13276.27 |  ArI |    1 |    32 |         39640 | keck_mosfire_webpage |
| 13316.85 |  ArI |    1 |    32 |         29210 | keck_mosfire_webpage |
| 13333.76 |  ArI |    1 |    32 |          1310 | keck_mosfire_webpage |
| 13370.77 |  ArI |    1 |    32 |         61870 | keck_mosfire_webpage |
| 13410.26 |  ArI |    1 |    32 |          5230 | keck_mosfire_webpage |
| 13507.88 |  ArI |    1 |    32 |         91140 | keck_mosfire_webpage |
| 13547.91 |  ArI |    1 |    32 |          1450 | keck_mosfire_webpage |
| 13577.33 |  ArI |    1 |    32 |          2740 | keck_mosfire_webpage |
| 13603.05 |  ArI |    1 |    32 |          3480 | keck_mosfire_webpage |
