| wave      | ion | NIST | Instr | amplitude |  Source |
| 14097.493 | ArI |    1 |   301 |     301.2 | unknown |
| 14253.089 | ArI |    1 |    38 |      38.4 | unknown |
| 14260.766 | ArI |    1 |    23 |      22.8 | unknown |
| 14638.414 | ArI |    1 |   126 |     125.7 | unknown |
| 14654.351 | ArI |    1 |   142 |     142.2 | unknown |
| 14743.167 | ArI |    1 |    33 |      33.2 | unknown |
| 15034.620 | ArI |    1 |    18 |      17.7 | unknown |
| 15050.617 | ArI |    1 |   784 |     784.1 | unknown |
| 15176.837 | ArI |    1 |   159 |     159.2 | unknown |
| 15306.062 | ArI |    1 |   290 |     290.5 | unknown |
| 15333.533 | ArI |    1 |   162 |     162.1 | unknown |
| 15406.849 | ArI |    1 |    56 |      56.1 | unknown |
| 15887.504 | ArI |    1 |    18 |      18.4 | unknown |
| 15904.031 | ArI |    1 |    62 |      61.7 | unknown |
| 15993.861 | ArI |    1 |   192 |     191.7 | unknown |
| 16127.061 | ArI |    1 |    41 |      41.5 | unknown |
| 16184.443 | ArI |    1 |    61 |      60.9 | unknown |
| 16441.065 | ArI |    1 |    72 |      71.5 | unknown |
| 16524.381 | ArI |    1 |   314 |     313.5 | unknown |
| 16744.652 | ArI |    1 |   136 |     135.7 | unknown |
| 16945.212 | ArI |    1 |  1838 |    1838.3 | unknown |
| 17449.668 | ArI |    1 |   119 |     118.5 | unknown |
| 17828.859 | ArI |    1 |    46 |      45.9 | unknown |
| 17919.522 | ArI |    1 |  1026 |    1025.7 | unknown |
| 17919.618 | ArI |    1 |    21 |      21.2 | unknown |
| 18637.377 | ArI |    1 |     9 |       9.2 | unknown |
| 19822.918 | ArI |    1 |    79 |      79.3 | unknown |
| 19971.182 | ArI |    1 |    64 |      64.3 | unknown |
| 20322.560 | ArI |    1 |    53 |      53.5 | unknown |
| 20621.856 | ArI |    1 |   476 |     475.8 | unknown |
| 20652.768 | ArI |    1 |    13 |      13.0 | unknown |
| 20739.294 | ArI |    1 |    11 |      11.0 | unknown |
| 20816.723 | ArI |    1 |    13 |      13.3 | unknown |
| 20991.839 | ArI |    1 |   482 |     481.9 | unknown |
| 21338.710 | ArI |    1 |    33 |      32.9 | unknown |
| 21540.086 | ArI |    1 |   111 |     111.1 | unknown |
| 22045.578 | ArI |    1 |    22 |      22.4 | unknown |
| 22083.206 | ArI |    1 |    77 |      77.3 | unknown |
| 23139.519 | ArI |    1 |    54 |      53.9 | unknown |
| 23851.542 | ArI |    1 |    71 |      71.5 | unknown |
| 23973.060 | ArI |    1 |    75 |      74.8 | unknown |
