| ion |      wave | NIST | Instr | amplitude |       Source |
| Ar |  9125.471 |    1 |  5849 |    5848.5 | unknown |
| Ar |  9197.161 |    1 |    17 |      17.2 | unknown |
| Ar |  9227.029 |    1 |   930 |     929.6 | unknown |
| Ar |  9294.081 |    1 |    16 |      16.0 | unknown |
| Ar |  9356.785 |    1 |   123 |     123.2 | unknown |
| Ar |  9660.435 |    1 |  2156 |    2156.0 | unknown |
| Ar |  9787.185 |    1 |   398 |     398.4 | unknown |
| Ar | 10472.922 |    1 |   634 |     634.1 | unknown |
| Ar | 10676.490 |    1 |   142 |     141.8 | unknown |
| Ar | 10684.698 |    1 |    19 |      18.8 | unknown |
| Ar | 11081.902 |    1 |    12 |      11.6 | unknown |
| Ar | 11491.253 |    1 |    42 |      42.2 | unknown |
| Ar | 11491.253 |    1 |    30 |      29.9 | unknown |
| Ar | 11671.903 |    1 |    40 |      39.9 | unknown |
| Ar | 12115.639 |    1 |    30 |      30.5 | unknown |
| Ar | 12143.059 |    1 |    11 |      11.3 | unknown |
| Ar | 12346.769 |    1 |    18 |      17.7 | unknown |
| Ar | 12406.221 |    1 |    56 |      55.5 | unknown |
| Ar | 12442.725 |    1 |    78 |      77.7 | unknown |
| Ar | 12459.522 |    1 |    23 |      23.3 | unknown |
| Ar | 12491.080 |    1 |    40 |      40.0 | unknown |
| Ar | 12705.755 |    1 |    24 |      24.4 | unknown |
| Ar | 12806.239 |    1 |    20 |      19.7 | unknown |
| Ar | 12960.202 |    1 |    46 |      46.2 | unknown |
| Ar | 13011.822 |    1 |    11 |      10.9 | unknown |
| Ar | 13217.605 |    1 |    15 |      15.0 | unknown |
| Ar | 13276.265 |    1 |    18 |      17.9 | unknown |
| Ar | 13316.851 |    1 |    11 |      10.6 | unknown |
| Ar | 13370.766 |    1 |     9 |       9.3 | unknown |
