# Created 2021-06-02
# These lines are pulled from IRAF's fear.dat
# then crossmatched with NIST lines.
# Some of IRAF's ion identification was incorrect,
# that was updated to match NIST. --MSR
|  ion |       wave | NIST | Instr | amplitude | Source |
|  FeI |  3021.5186 |    1 |     0 |     10000 |   NIST |
|  FeI |  3024.9130 |    1 |     0 |     10000 |   NIST |
|  FeI |  3038.2725 |    1 |     0 |     10000 |   NIST |
|  FeI |  3048.4908 |    1 |     0 |     10000 |   NIST |
|  FeI |  3058.3346 |    1 |     0 |     10000 |   NIST |
|  FeI |  3059.9750 |    1 |     0 |     10000 |   NIST |
|  FeI |  3226.7184 |    1 |     0 |     10000 |   NIST |
| ArII |  3244.6240 |    1 |     0 |     10000 |   NIST |
| ArII |  3351.8870 |    1 |     0 |     10000 |   NIST |
| ArII |  3377.4054 |    1 |     0 |     10000 |   NIST |
| ArII |  3389.5034 |    1 |     0 |     10000 |   NIST |
|  FeI |  3400.3084 |    1 |     0 |     10000 |   NIST |
|  FeI |  3405.3305 |    1 |     0 |     10000 |   NIST |
|  FeI |  3408.4370 |    1 |     0 |     10000 |   NIST |
|  FeI |  3414.1112 |    1 |     0 |     10000 |   NIST |
|  FeI |  3428.1020 |    1 |     0 |     10000 |   NIST |
|  FeI |  3444.8632 |    1 |     0 |     10000 |   NIST |
|  FeI |  3466.8530 |    1 |     0 |     10000 |   NIST |
|  FeI |  3476.4450 |    1 |     0 |     10000 |   NIST |
|  FeI |  3477.6970 |    1 |     0 |     10000 |   NIST |
| ArII |  3481.5070 |    1 |     0 |     10000 |   NIST |
|  FeI |  3491.5727 |    1 |     0 |     10000 |   NIST |
| ArII |  3510.7818 |    1 |     0 |     10000 |   NIST |
| ArII |  3520.9998 |    1 |     0 |     10000 |   NIST |
| ArII |  3536.3298 |    1 |     0 |     10000 |   NIST |
|  FeI |  3542.0950 |    1 |     0 |     10000 |   NIST |
|  FeI |  3546.6528 |    1 |     0 |      9800 |   NIST |
| ArII |  3549.5279 |    1 |     0 |     10000 |   NIST |
| ArII |  3560.5246 |    1 |     0 |     10000 |   NIST |
| ArII |  3562.0473 |    1 |     0 |     10000 |   NIST |
|  FeI |  3566.3969 |    1 |     0 |     10000 |   NIST |
| ArII |  3577.6364 |    1 |     0 |     10000 |   NIST |
|  FeI |  3582.2150 |    1 |     0 |     10000 |   NIST |
| ArII |  3589.4644 |    1 |     0 |     10000 |   NIST |
|  FeI |  3609.8885 |    1 |     0 |     10000 |   NIST |
|  FeI |  3619.7996 |    1 |     0 |     10000 |   NIST |
|  FeI |  3632.4981 |    1 |     0 |     10000 |   NIST |
|  FeI |  3648.8820 |    1 |     0 |     10000 |   NIST |
|  FeI |  3680.9608 |    1 |     0 |     10000 |   NIST |
|  FeI |  3688.5061 |    1 |     0 |     10000 |   NIST |
|  FeI |  3706.6202 |    1 |     0 |     10000 |   NIST |
|  FeI |  3710.3014 |    1 |     0 |     10000 |   NIST |
| ArII |  3719.2638 |    1 |     0 |     10000 |   NIST |
|  FeI |  3720.9926 |    1 |     0 |     10000 |   NIST |
|  FeI |  3723.6215 |    1 |     0 |     10000 |   NIST |
|  FeI |  3728.6789 |    1 |     0 |     10000 |   NIST |
| ArII |  3730.3687 |    1 |     0 |     10000 |   NIST |
|  FeI |  3734.3789 |    1 |     0 |     10000 |   NIST |
|  FeI |  3735.9256 |    1 |     0 |     10000 |   NIST |
|  FeI |  3738.1939 |    1 |     0 |     10000 |   NIST |
