# Creation Date: 2020-Apr-26
|  ion |       wave | NIST | Instr | amplitude | Source |
| FeII |  3000.9369 |    1 |     0 |      1800 |   NIST |
| FeII |  3003.1920 |    1 |     0 |      1100 |   NIST |
| FeII |  3004.7617 |    1 |     0 |      2000 |   NIST |
| FeII |  3027.6267 |    1 |     0 |      4000 |   NIST |
| FeII |  3037.8474 |    1 |     0 |      2600 |   NIST |
| FeII |  3049.8784 |    1 |     0 |      5000 |   NIST |
| FeII |  3056.2388 |    1 |     0 |      3600 |   NIST |
| FeII |  3066.2058 |    1 |     0 |      3500 |   NIST |
| FeII |  3072.0172 |    1 |     0 |      4000 |   NIST |
| FeII |  3075.3299 |    1 |     0 |      1100 |   NIST |
| FeII |  3077.3288 |    1 |     0 |      8000 |   NIST |
| FeII |  3078.0627 |    1 |     0 |      7000 |   NIST |
| FeII |  3079.5743 |    1 |     0 |     18000 |   NIST |
| FeII |  3097.1925 |    1 |     0 |      2000 |   NIST |
| FeII |  3102.7850 |    1 |     0 |      1300 |   NIST |
| FeII |  3106.0684 |    1 |     0 |      2200 |   NIST |
| FeII |  3106.4550 |    1 |     0 |      2200 |   NIST |
| FeII |  3107.4662 |    1 |     0 |      2600 |   NIST |
| FeII |  3115.1986 |    1 |     0 |      4000 |   NIST |
| FeII |  3115.5866 |    1 |     0 |      2400 |   NIST |
| FeII |  3117.4840 |    1 |     0 |      4000 |   NIST |
| FeII |  3136.2708 |    1 |     0 |     11000 |   NIST |
| FeII |  3145.6641 |    1 |     0 |      3500 |   NIST |
| FeII |  3155.1144 |    1 |     0 |     18000 |   NIST |
| FeII |  3163.7161 |    1 |     0 |      4000 |   NIST |
| FeII |  3166.5640 |    1 |     0 |      2300 |   NIST |
| FeII |  3178.4530 |    1 |     0 |     21000 |   NIST |
| FeII |  3180.4248 |    1 |     0 |      3200 |   NIST |
| FeII |  3183.9888 |    1 |     0 |      4000 |   NIST |
| FeII |  3187.6586 |    1 |     0 |      6000 |   NIST |
| FeII |  3188.2208 |    1 |     0 |      4000 |   NIST |
| FeII |  3193.8334 |    1 |     0 |      3200 |   NIST |
| FeII |  3194.7239 |    1 |     0 |      5000 |   NIST |
| FeII |  3194.7801 |    1 |     0 |      5000 |   NIST |
| FeII |  3196.9951 |    1 |     0 |      5000 |   NIST |
| FeII |  3197.9250 |    1 |     0 |      1100 |   NIST |
| FeII |  3211.3729 |    1 |     0 |      6000 |   NIST |
| FeII |  3214.2372 |    1 |     0 |     15000 |   NIST |
| FeII |  3228.6751 |    1 |     0 |     27000 |   NIST |
| FeII |  3231.3524 |    1 |     0 |      1300 |   NIST |
| FeII |  3232.9543 |    1 |     0 |      1700 |   NIST |
| FeII |  3233.7232 |    1 |     0 |      4000 |   NIST |
| FeII |  3238.7548 |    1 |     0 |      2900 |   NIST |
| FeII |  3244.6614 |    1 |     0 |      3300 |   NIST |
| FeII |  3248.1137 |    1 |     0 |      4000 |   NIST |
| FeII |  3248.4808 |    1 |     0 |      2900 |   NIST |
| FeII |  3256.8253 |    1 |     0 |      2600 |   NIST |
| FeII |  3259.7127 |    1 |     0 |     10000 |   NIST |
| FeII |  3259.9912 |    1 |     0 |      8000 |   NIST |
| FeII |  3278.2935 |    1 |     0 |      4000 |   NIST |
| FeII |  3282.2365 |    1 |     0 |      1100 |   NIST |
| FeII |  3290.3015 |    1 |     0 |      1200 |   NIST |
| FeII |  3302.8047 |    1 |     0 |      2400 |   NIST |
| FeII |  3324.0189 |    1 |     0 |      1300 |   NIST |
| FeII |  3429.2101 |    1 |     0 |      1700 |   NIST |
| FeII |  3454.6049 |    1 |     0 |      2100 |   NIST |
| FeII |  3668.0698 |    1 |     0 |      1100 |   NIST |
| FeII |  3749.5540 |    1 |     0 |      1800 |   NIST |
| FeII |  4585.1137 |    1 |     0 |      1500 |   NIST |
| FeII |  4844.6492 |    1 |     0 |      1100 |   NIST |
| FeII |  4914.6668 |    1 |     0 |      1300 |   NIST |
| FeII |  4925.2962 |    1 |     0 |      5000 |   NIST |
| FeII |  4950.1725 |    1 |     0 |      1200 |   NIST |
| FeII |  4952.9624 |    1 |     0 |      2100 |   NIST |
| FeII |  4978.4219 |    1 |     0 |      1400 |   NIST |
| FeII |  4985.8759 |    1 |     0 |      1400 |   NIST |
| FeII |  4991.8985 |    1 |     0 |      2000 |   NIST |
| FeII |  5003.3482 |    1 |     0 |     13000 |   NIST |
| FeII |  5005.5840 |    1 |     0 |      5000 |   NIST |
| FeII |  5017.1510 |    1 |     0 |      1200 |   NIST |
| FeII |  5019.8351 |    1 |     0 |      8000 |   NIST |
| FeII |  5023.8190 |    1 |     0 |      1100 |   NIST |
| FeII |  5032.0346 |    1 |     0 |      3400 |   NIST |
| FeII |  5034.1070 |    1 |     0 |      2000 |   NIST |
| FeII |  5037.1042 |    1 |     0 |      7000 |   NIST |
| FeII |  5049.0393 |    1 |     0 |      1200 |   NIST |
| FeII |  5072.3095 |    1 |     0 |      1800 |   NIST |
| FeII |  5077.1748 |    1 |     0 |      2900 |   NIST |
| FeII |  5083.6430 |    1 |     0 |      1100 |   NIST |
| FeII |  5088.6402 |    1 |     0 |      2200 |   NIST |
