# Creation Date: 2020-Apr-26
# Manually cut down between 3500-5000 by RJC for KCWI, strongest lines only for redder lines
| ion |       wave | NIST | Instr | amplitude | Source |
| FeI |  3546.6528 |    1 |     0 |      9800 |   NIST |
| FeI |  3560.5197 |    1 |     0 |      3980 |   NIST |
| FeI |  3619.7996 |    1 |     0 |    830000 |   NIST |
| FeI |  3632.4981 |    1 |     0 |   1150000 |   NIST |
| FeI |  3680.9608 |    1 |     0 |    910000 |   NIST |
| FeI |  3706.6202 |    1 |     0 |   1290000 |   NIST |
| FeI |  3723.6215 |    1 |     0 |   1290000 |   NIST |
| FeI |  3734.3789 |    1 |     0 |   1000000 |   NIST |
| FeI |  3759.3007 |    1 |     0 |    740000 |   NIST |
| FeI |  3816.9230 |    1 |     0 |    760000 |   NIST |
| FeI |  3825.5287 |    1 |     0 |   1000000 |   NIST |
| FeI |  3826.9665 |    1 |     0 |    760000 |   NIST |
| FeI |  3828.9085 |    1 |     0 |    590000 |   NIST |
| FeI |  3835.3100 |    1 |     0 |    590000 |   NIST |
| FeI |  3857.4648 |    1 |     0 |   1100000 |   NIST |
| FeI |  3879.6723 |    1 |     0 |   1290000 |   NIST |
| FeI |  3896.7599 |    1 |     0 |    740000 |   NIST |
| FeI |  3900.8119 |    1 |     0 |   1070000 |   NIST |
| FeI |  3921.3680 |    1 |     0 |    650000 |   NIST |
| FeI |  3924.0224 |    1 |     0 |   1000000 |   NIST |
| FeI |  3929.1949 |    1 |     0 |      6200 |   NIST |
| FeI |  3933.7405 |    1 |     0 |      8500 |   NIST |
| FeI |  4006.3740 |    1 |     0 |    209000 |   NIST |
| FeI |  4102.4183 |    1 |     0 |      1150 |   NIST |
| FeI |  4138.1642 |    1 |     0 |      9300 |   NIST |
| FeI |  4153.3397 |    1 |     0 |      7800 |   NIST |
| FeI |  4188.9753 |    1 |     0 |     52000 |   NIST |
| FeI |  4199.4870 |    1 |     0 |     29500 |   NIST |
| FeI |  4217.3711 |    1 |     0 |     54000 |   NIST |
| FeI |  4233.9179 |    1 |     0 |      1200 |   NIST |
| FeI |  4237.1295 |    1 |     0 |     89000 |   NIST |
| FeI |  4261.6733 |    1 |     0 |    224000 |   NIST |
| FeI |  4292.6708 |    1 |     0 |      9800 |   NIST |
| FeI |  4295.3326 |    1 |     0 |     58000 |   NIST |
| FeI |  4316.2979 |    1 |     0 |     62000 |   NIST |
| FeI |  4326.9780 |    1 |     0 |    830000 |   NIST |
| FeI |  4338.2654 |    1 |     0 |     22900 |   NIST |
| FeI |  4377.1594 |    1 |     0 |    138000 |   NIST |
| FeI |  4384.7763 |    1 |     0 |    141000 |   NIST |
| FeI |  4405.9873 |    1 |     0 |    810000 |   NIST |
| FeI |  4416.3621 |    1 |     0 |    288000 |   NIST |
| FeI |  4423.8097 |    1 |     0 |     12300 |   NIST |
| FeI |  4428.5527 |    1 |     0 |    117000 |   NIST |
| FeI |  4431.4327 |    1 |     0 |      1120 |   NIST |
| FeI |  4431.8577 |    1 |     0 |      4170 |   NIST |
| FeI |  4434.4631 |    1 |     0 |      3720 |   NIST |
| FeI |  4435.0269 |    1 |     0 |      1230 |   NIST |
| FeI |  4436.3938 |    1 |     0 |      4900 |   NIST |
| FeI |  4438.1660 |    1 |     0 |      1100 |   NIST |
| FeI |  4443.5858 |    1 |     0 |     13500 |   NIST |
| FeI |  4444.0785 |    1 |     0 |      1910 |   NIST |
| FeI |  4448.3785 |    1 |     0 |      1780 |   NIST |
| FeI |  4448.9655 |    1 |     0 |      9500 |   NIST |
| FeI |  4455.6310 |    1 |     0 |      8300 |   NIST |
| FeI |  4457.5762 |    1 |     0 |      1150 |   NIST |
| FeI |  4460.3688 |    1 |     0 |      9500 |   NIST |
| FeI |  4462.9047 |    1 |     0 |     74000 |   NIST |
| FeI |  4467.8050 |    1 |     0 |     45700 |   NIST |
| FeI |  4470.6295 |    1 |     0 |      8300 |   NIST |
