|    wave | ion  | NIST | Instr   | amplitude   |       Source |
|3600.169 |  NeI | 1    |    69   |         10  |  GTC webpage |
|3606.522 |  ArI | 1    |    69   |         10  |  GTC webpage |
|3610.32  |  XeI | 1    |    69   |         10  |  GTC webpage |
|3613.06  |  XeI | 1    |    69   |         10  |  GTC webpage |
|3633.06  |  XeI | 1    |    69   |         10  |  GTC webpage |
|3650.153 |  HgI | 1    |    69   |         10  |  GTC webpage |
|3654.836 |  HgI | 1    |    69   |         10  |  GTC webpage |
|3663.279 |  HgI | 1    |    69   |         10  |  GTC webpage |
|3669.91  |  XeI | 1    |    69   |         10  |  GTC webpage |
|3685.90  |  XeI | 1    |    69   |         10  |  GTC webpage |
|3693.49  |  XeI | 1    |    69   |         10  |  GTC webpage |
|3701.224 |  NeI | 1    |    69   |         10  |  GTC webpage |
|3770.369 |  ArI | 1    |    69   |         10  |  GTC webpage |
|3834.678 |  ArI | 1    |    69   |         10  |  GTC webpage |
|3948.979 |  ArI | 1    |    69   |         10  |  GTC webpage |
|4044.418 |  ArI | 1    |    69   |         10  |  GTC webpage |
|4046.563 |  HgI | 1    |    69   |         10  |  GTC webpage |
|4077.831 |  HgI | 1    |    69   |         10  |  GTC webpage |
|4158.590 |  ArI | 1    |    69   |         10  |  GTC webpage |
|4164.180 |  ArI | 1    |    69   |         10  |  GTC webpage |
|4181.884 |  ArI | 1    |    69   |         10  |  GTC webpage |
|4190.713 |  ArI | 1    |    69   |         10  |  GTC webpage |
|4191.029 |  ArI | 1    |    69   |         10  |  GTC webpage |
|4198.317 |  ArI | 1    |    69   |         10  |  GTC webpage |
|4200.674 |  ArI | 1    |    69   |         10  |  GTC webpage |
|4251.185 |  ArI | 1    |    69   |         10  |  GTC webpage |
|4259.362 |  ArI | 1    |    69   |         10  |  GTC webpage |
|4266.286 |  ArI | 1    |    69   |         10  |  GTC webpage |
|4272.169 |  ArI | 1    |    69   |         10  |  GTC webpage |
|4300.101 |  ArI | 1    |    69   |         10  |  GTC webpage |
|4333.561 |  ArI | 1    |    69   |         10  |  GTC webpage |
|4335.338 |  ArI | 1    |    69   |         10  |  GTC webpage |
|4339.223 |  HgI | 1    |    69   |         10  |  GTC webpage |
|4347.494 |  HgI | 1    |    69   |         10  |  GTC webpage |
|4345.168 |  ArI | 1    |    69   |         10  |  GTC webpage |
|4358.328 |  HgI | 1    |    69   |         10  |  GTC webpage |
|4500.977 |  XeI | 1    |    69   |         10  |  GTC webpage |
|4510.733 |  ArI | 1    |    69   |         10  |  GTC webpage |
|4522.323 |  ArI | 1    |    69   |         10  |  GTC webpage |
|4524.680 |  XeI | 1    |    69   |         10  |  GTC webpage |
|4537.755 |  NeI | 1    |    69   |         10  |  GTC webpage |
|4582.747 |  XeI | 1    |    69   |         10  |  GTC webpage |
|4589.289 |  ArI | 1    |    69   |         10  |  GTC webpage |
|4596.097 |  ArI | 1    |    69   |         10  |  GTC webpage |
|4624.276 |  XeI | 1    |    69   |         10  |  GTC webpage |
|4628.441 |  ArI | 1    |    69   |         10  |  GTC webpage |
|4671.226 |  XeI | 1    |    69   |         10  |  GTC webpage |
|4697.020 |  XeI | 1    |    69   |         10  |  GTC webpage |
|4702.316 |  ArI | 1    |    69   |         10  |  GTC webpage |
|4704.395 |  NeI | 1    |    69   |         10  |  GTC webpage |
|4708.859 |  NeI | 1    |    69   |         10  |  GTC webpage |
|4710.065 |  NeI | 1    |    69   |         10  |  GTC webpage |
|4712.063 |  NeI | 1    |    69   |         10  |  GTC webpage |
|4715.344 |  NeI | 1    |    69   |         10  |  GTC webpage |
|4734.152 |  XeI | 1    |    69   |         10  |  GTC webpage |
|4752.732 |  NeI | 1    |    69   |         10  |  GTC webpage |
|4788.926 |  NeI | 1    |    69   |         10  |  GTC webpage |
|4790.219 |  NeI | 1    |    69   |         10  |  GTC webpage |
|4792.619 |  XeI | 1    |    69   |         10  |  GTC webpage |
|4807.019 |  XeI | 1    |    69   |         10  |  GTC webpage |
|4827.338 |  NeI | 1    |    69   |         10  |  GTC webpage |
|4829.709 |  XeI | 1    |    69   |         10  |  GTC webpage |
|4843.294 |  XeI | 1    |    69   |         10  |  GTC webpage |
|4884.917 |  NeI | 1    |    69   |         10  |  GTC webpage |
|4916.510 |  XeI | 1    |    69   |         10  |  GTC webpage |
|4923.152 |  XeI | 1    |    69   |         10  |  GTC webpage |
|5005.159 |  NeI | 1    |    69   |         10  |  GTC webpage |
|5028.280 |  XeI | 1    |    69   |         10  |  GTC webpage |
|5037.751 |  NeI | 1    |    69   |         10  |  GTC webpage |
|4144.938 |  NeI | 1    |    69   |         10  |  GTC webpage |
|5162.285 |  ArI | 1    |    69   |         10  |  GTC webpage |
|5187.746 |  ArI | 1    |    69   |         10  |  GTC webpage |
|5221.270 |  ArI | 1    |    69   |         10  |  GTC webpage |
|5252.787 |  ArI | 1    |    69   |         10  |  GTC webpage |
|5330.778 |  NeI | 1    |    69   |         10  |  GTC webpage |
|5341.094 |  NeI | 1    |    69   |         10  |  GTC webpage |
|5343.283 |  NeI | 1    |    69   |         10  |  GTC webpage |
|5392.800 |  XeI | 1    |    69   |         10  |  GTC webpage |
|5400.562 |  NeI | 1    |    69   |         10  |  GTC webpage |
|5421.351 |  ArI | 1    |    69   |         10  |  GTC webpage |
|5451.652 |  ArI | 1    |    69   |         10  |  GTC webpage |
|5460.735 |  HgI | 1    |    69   |         10  |  GTC webpage |
|5495.874 |  ArI | 1    |    69   |         10  |  GTC webpage |
|5558.702 |  ArI | 1    |    69   |         10  |  GTC webpage |
|5562.766 |  NeI | 1    |    69   |         10  |  GTC webpage |
|5566.62  |  XeI | 1    |    69   |         10  |  GTC webpage |
|5606.733 |  ArI | 1    |    69   |         10  |  GTC webpage |
|5650.704 |  ArI | 1    |    69   |         10  |  GTC webpage |
|5656.659 |  NeI | 1    |    69   |         10  |  GTC webpage |
|5695.75  |  XeI | 1    |    69   |         10  |  GTC webpage |
|5719.225 |  NeI | 1    |    69   |         10  |  GTC webpage |
|5739.519 |  ArI | 1    |    69   |         10  |  GTC webpage |
|5748.299 |  NeI | 1    |    69   |         10  |  GTC webpage |
|5764.419 |  NeI | 1    |    69   |         10  |  GTC webpage |
|5769.598 |  HgI | 1    |    69   |         10  |  GTC webpage |
|5790.663 |  HgI | 1    |    69   |         10  |  GTC webpage |
|5804.450 |  NeI | 1    |    69   |         10  |  GTC webpage |
|5820.156 |  NeI | 1    |    69   |         10  |  GTC webpage |
|5823.89  |  XeI | 1    |    69   |         10  |  GTC webpage |
|5824.80  |  XeI | 1    |    69   |         10  |  GTC webpage |
|5834.264 |  ArI | 1    |    69   |         10  |  GTC webpage |
|5852.488 |  NeI | 1    |    69   |         10  |  GTC webpage |
|5860.310 |  ArI | 1    |    69   |         10  |  GTC webpage |
|5872.828 |  NeI | 1    |    69   |         10  |  GTC webpage |
|5881.895 |  NeI | 1    |    69   |         10  |  GTC webpage |
|5888.584 |  ArI | 1    |    69   |         10  |  GTC webpage |
|5894.99  |  XeI | 1    |    69   |         10  |  GTC webpage |
|5902.462 |  NeI | 1    |    69   |         10  |  GTC webpage |
|5906.429 |  NeI | 1    |    69   |         10  |  GTC webpage |
|5912.085 |  ArI | 1    |    69   |         10  |  GTC webpage |
|5934.17  |  XeI | 1    |    69   |         10  |  GTC webpage |
|5944.834 |  NeI | 1    |    69   |         10  |  GTC webpage |
|5965.471 |  NeI | 1    |    69   |         10  |  GTC webpage |
|5974.627 |  NeI | 1    |    69   |         10  |  GTC webpage |
|5975.534 |  NeI | 1    |    69   |         10  |  GTC webpage |
|5987.907 |  NeI | 1    |    69   |         10  |  GTC webpage |
|6029.997 |  NeI | 1    |    69   |         10  |  GTC webpage |
|6032.127 |  ArI | 1    |    69   |         10  |  GTC webpage |
|6043.223 |  ArI | 1    |    69   |         10  |  GTC webpage |
