| ion |       wave | NIST | Instr | amplitude |                    Source |
| NeI |  5854.1101 |    1 |     9 |      7489 | lrisr_600_7500_PYPIT.json |
| NeI |  5883.5252 |    1 |     9 |      5962 | lrisr_600_7500_PYPIT.json |
| NeI |  5946.4810 |    1 |     9 |     10105 | lrisr_600_7500_PYPIT.json |
| NeI |  5977.1895 |    1 |     9 |      2204 | lrisr_600_7500_PYPIT.json |
| NeI |  6031.6666 |    1 |     9 |      3292 | lrisr_600_7500_PYPIT.json |
| NeI |  6076.0193 |    1 |     9 |      9122 | lrisr_600_7500_PYPIT.json |
| NeI |  6097.8506 |    1 |     9 |     14599 | lrisr_600_7500_PYPIT.json |
| NeI |  6130.1460 |    1 |     8 |       319 | kastr_600_7500_PYPIT.json |
| NeI |  6144.7629 |    1 |     9 |     27178 | lrisr_600_7500_PYPIT.json |
| NeI |  6165.2994 |    1 |     9 |      8360 | lrisr_600_7500_PYPIT.json |
| NeI |  6219.0013 |    1 |     9 |      8536 | lrisr_600_7500_PYPIT.json |
| NeI |  6268.2285 |    1 |     9 |     17196 | lrisr_600_7500_PYPIT.json |
| NeI |  6306.5329 |    1 |     9 |      6651 | lrisr_600_7500_PYPIT.json |
| NeI |  6336.1791 |    1 |     9 |     22717 | lrisr_600_7500_PYPIT.json |
| NeI |  6384.7560 |    1 |     9 |     37581 | lrisr_600_7500_PYPIT.json |
| NeI |  6404.0180 |    1 |     9 |     64450 | lrisr_600_7500_PYPIT.json |
| NeI |  6508.3255 |    1 |    25 |     35663 | lrisr_600_7500_PYPIT.json |
| NeI |  6534.6872 |    1 |    25 |     17243 | lrisr_600_7500_PYPIT.json |
| NeI |  6600.7754 |    1 |    25 |     17780 | lrisr_600_7500_PYPIT.json |
| NeI |  6680.1205 |    1 |    25 |     30950 | lrisr_600_7500_PYPIT.json |
| NeI |  6718.8974 |    1 |    25 |     21322 | lrisr_600_7500_PYPIT.json |
| NeI |  6931.3787 |    1 |    25 |     37678 | lrisr_600_7500_PYPIT.json |
| NeI |  7034.3520 |    1 |    25 |     64420 | lrisr_600_7500_PYPIT.json |
| NeI |  7175.9154 |    1 |    25 |      8445 | lrisr_600_7500_PYPIT.json |
| NeI |  7247.1631 |    1 |    25 |     64406 | lrisr_600_7500_PYPIT.json |
| ArI |  6967.3520 |    1 |    89 |     15530 | lrisr_600_7500_PYPIT.json |
| ArI |  7032.1900 |    1 |    72 |       504 | GMOS_R400_chip2_8_fit.json|
| ArI |  7374.1490 |    1 |   128 |       200 |                       NIST|
| ArI |  7386.0140 |    1 |    89 |     19023 |  lrisr_600_7500_PYPIT.json|
| ArI |  7637.2080 |    1 |    88 |      2186 |  kastr_600_7500_PYPIT.json|
| ArI |  7725.8870 |    1 |     8 |       734 |  kastr_600_7500_PYPIT.json|
| ArI |  7726.3330 |    1 |    73 |     63716 |  lrisr_400_8500_PYPIT.json|
| ArI |  7950.3620 |    1 |    89 |     46471 |  lrisr_600_7500_PYPIT.json|
| ArI |  8008.3590 |    1 |    25 |     32071 |  lrisr_600_7500_PYPIT.json|
| ArI |  8016.9900 |    1 |    72 |     22137 | GMOS_R400_chip2_8_fit.json|
| ArI |  8105.9210 |    1 |    73 |     63969 |  lrisr_400_8500_PYPIT.json|
| ArI |  8117.5420 |    1 |    72 |      1354 |  kastr_600_7500_PYPIT.json|
| ArI |  8266.7940 |    1 |    72 |     21663 | GMOS_R400_chip2_8_fit.json|
| ArI |  8410.5210 |    1 |    89 |     60527 |  lrisr_600_7500_PYPIT.json|
| ArI |  8426.9630 |    1 |    72 |     15254 |  GMOS_R400_long_3_fit.json|
| ArI |  8523.7830 |    1 |    89 |     29544 |  lrisr_600_7500_PYPIT.json|
| ArI |  8670.3250 |    1 |    89 |      8086 |  lrisr_400_8500_PYPIT.json|
| ArI |  8764.092  |    1 |    72 |      8086 |      GMOS_R830_shenli.json|
| ArI |  8801.503  |    1 |    72 |      8086 |      GMOS_R830_shenli.json|
| ArI |  8852.34   |    1 |    72 |      8086 |      GMOS_R830_shenli.json|
| ArI |  9125.4710 |    1 |    88 |     35000 |   deimos_830g_r_PYPIT.json|
| ArI |  9197.1610 |    1 |    72 |       555 |  GMOS_R400_long_3_fit.json|
| ArI |  9227.0300 |    1 |    89 |     57170 |  lrisr_400_8500_PYPIT.json|
| ArI |  9294.0810 |    1 |    72 |       386 |  GMOS_R400_long_3_fit.json|
| ArI |  9356.7870 |    1 |    89 |      3521 |  lrisr_400_8500_PYPIT.json|
| ArI |  9660.4350 |    1 |    72 |     35000 |   deimos_830g_r_PYPIT.json|
| ArI |  9787.1860 |    1 |    25 |      8197 |  lrisr_400_8500_PYPIT.json|
| HeI |  3889.7500 |    1 |     4 |      2565 | kastb_600_PYPIT.json      |
| HeI |  4027.3292 |    1 |     4 |       153 | kastb_600_PYPIT.json      |
| HeI |  4472.7291 |    1 |     4 |       153 | kastb_600_PYPIT.json      |
| HeI |  4714.4644 |    1 |     4 |       275 | kastb_600_PYPIT.json      |
| HeI |  4923.3053 |    1 |     4 |       656 | kastb_600_PYPIT.json      |
| HeI |  5017.0772 |    1 |     4 |      2341 | kastb_600_PYPIT.json      |
| HeI |  5877.2490 |    1 |     0 |      1000 | FORS2                     |
| HeI |  6679.9950 |    1 |     0 |       300 | ALFOSC                    |
| HeI |  7067.1380 |    1 |     0 |       200 | ALFOSC                    |
