| wave      | ion | NIST | Instr | amplitude |  Source |
| 14097.493 | HgI |    1 |   140 |     139.9 | unknown |
| 14253.089 | HgI |    1 |    18 |      17.6 | unknown |
| 14600.461 | HgI |    1 |    34 |      34.3 | unknown |
| 14638.504 | HgI |    1 |    53 |      53.5 | unknown |
| 14654.351 | HgI |    1 |    60 |      60.4 | unknown |
| 14743.167 | HgI |    1 |    18 |      18.0 | unknown |
| 15050.617 | HgI |    1 |   415 |     414.6 | unknown |
| 15176.837 | HgI |    1 |    83 |      82.7 | unknown |
| 15300.000 | HgI |    1 |  1201 |    1200.6 | unknown |
| 15333.533 | HgI |    1 |    96 |      96.0 | unknown |
| 15406.849 | HgI |    1 |    24 |      23.8 | unknown |
| 15887.504 | HgI |    1 |     9 |       8.6 | unknown |
| 15904.031 | HgI |    1 |    25 |      25.4 | unknown |
| 15993.861 | HgI |    1 |   104 |     103.6 | unknown |
| 16127.061 | HgI |    1 |    27 |      26.8 | unknown |
| 16184.443 | HgI |    1 |    29 |      29.1 | unknown |
| 16441.065 | HgI |    1 |    32 |      31.7 | unknown |
| 16524.381 | HgI |    1 |   196 |     196.2 | unknown |
| 16744.652 | HgI |    1 |    70 |      70.4 | unknown |
| 16886.090 | HgI |    1 |    10 |      10.5 | unknown |
| 16924.780 | HgI |    1 |    22 |      21.9 | unknown |
| 16945.212 | HgI |    1 |  1180 |    1180.4 | unknown |
| 17077.450 | HgI |    1 |    48 |      48.0 | unknown |
| 17114.600 | HgI |    1 |    37 |      36.5 | unknown |
| 17449.668 | HgI |    1 |    70 |      69.5 | unknown |
| 17828.859 | HgI |    1 |    19 |      18.6 | unknown |
| 17919.522 | HgI |    1 |   256 |     255.5 | unknown |
| 17919.618 | HgI |    1 |   664 |     663.8 | unknown |
| 18135.330 | HgI |    1 |    13 |      13.4 | unknown |
| 19705.550 | HgI |    1 |    12 |      11.6 | unknown |
| 19822.918 | HgI |    1 |    38 |      37.9 | unknown |
| 19971.182 | HgI |    1 |    39 |      39.1 | unknown |
| 20322.560 | HgI |    1 |    27 |      27.3 | unknown |
| 20621.856 | HgI |    1 |   310 |     309.7 | unknown |
| 20991.839 | HgI |    1 |   324 |     324.2 | unknown |
| 21338.710 | HgI |    1 |    22 |      21.9 | unknown |
| 21540.086 | HgI |    1 |    69 |      68.5 | unknown |
| 22045.578 | HgI |    1 |    14 |      14.4 | unknown |
| 22083.206 | HgI |    1 |    53 |      52.7 | unknown |
| 23139.519 | HgI |    1 |    36 |      36.5 | unknown |
| 23851.542 | HgI |    1 |    30 |      30.5 | unknown |
| 23973.060 | HgI |    1 |    57 |      56.7 | unknown |
