| ion |      wave | NIST | Instr | amplitude |       Source |
| Hg |  9125.471 |    1 |  4566 |    4566.2 | unknown |
| Hg |  9227.029 |    1 |   592 |     592.3 | unknown |
| Hg |  9356.785 |    1 |    74 |      73.6 | unknown |
| Hg |  9660.435 |    1 |  1538 |    1538.0 | unknown |
| Hg |  9787.185 |    1 |   215 |     215.3 | unknown |
| Hg | 10142.530 |    1 |    60 |      60.1 | unknown |
| Hg | 10472.922 |    1 |   433 |     433.0 | unknown |
| Hg | 10676.490 |    1 |    72 |      71.6 | unknown |
| Hg | 11290.200 |    1 |    31 |      31.4 | unknown |
| Hg | 11491.253 |    1 |    28 |      27.6 | unknown |
| Hg | 11671.903 |    1 |    20 |      19.5 | unknown |
| Hg | 12115.639 |    1 |    14 |      14.2 | unknown |
| Hg | 12406.221 |    1 |    29 |      29.0 | unknown |
| Hg | 12442.725 |    1 |    46 |      45.7 | unknown |
| Hg | 12459.522 |    1 |    11 |      10.9 | unknown |
| Hg | 12491.080 |    1 |    19 |      18.7 | unknown |
| Hg | 12705.755 |    1 |    13 |      12.7 | unknown |
| Hg | 12960.202 |    1 |    26 |      26.4 | unknown |
| Hg | 13217.605 |    1 |     9 |       9.1 | unknown |
