# Creation Date: 2024-11-16
| ion |       wave   | NIST | Instr | amplitude |       Source |
| KrI |  3666.369400 |    1 |     0 |        80 | lbt_mods_KrI |
| KrI |  3680.608500 |    1 |     0 |       100 | lbt_mods_KrI |
| KrI |  3774.495800 |    1 |     0 |        50 | lbt_mods_KrI |
| KrI |  3813.297000 |    1 |     0 |        20 | lbt_mods_KrI |
| KrI |  3838.791500 |    1 |     0 |        30 | lbt_mods_KrI |
| KrI |  3838.903900 |    1 |     0 |        30 | lbt_mods_KrI |
| KrI |  3992.386800 |    1 |     0 |        10 | lbt_mods_KrI |
| KrI |  4185.651900 |    1 |     0 |        20 | lbt_mods_KrI |
| KrI |  4275.172200 |    1 |     0 |      1000 | lbt_mods_KrI |
| KrI |  4284.172480 |    1 |     0 |       100 | lbt_mods_KrI |
| KrI |  4287.692930 |    1 |     0 |        40 | lbt_mods_KrI |
| KrI |  4301.696260 |    1 |     0 |        50 | lbt_mods_KrI |
| KrI |  4319.766900 |    1 |     0 |       400 | lbt_mods_KrI |
| KrI |  4320.794300 |    1 |     0 |      1000 | lbt_mods_KrI |
| KrI |  4352.582820 |    1 |     0 |       100 | lbt_mods_KrI |
| KrI |  4377.351240 |    1 |     0 |       800 | lbt_mods_KrI |
| KrI |  4401.202270 |    1 |     0 |       200 | lbt_mods_KrI |
| KrI |  4426.432650 |    1 |     0 |       100 | lbt_mods_KrI |
| KrI |  4464.942730 |    1 |     0 |       800 | lbt_mods_KrI |
| KrI |  4503.617210 |    1 |     0 |       600 | lbt_mods_KrI |
| KrI |  4551.574100 |    1 |     0 |        40 | lbt_mods_KrI |
| KrI |  4813.981700 |    1 |     0 |        40 | lbt_mods_KrI |
| KrI |  5217.270100 |    1 |     0 |         8 | lbt_mods_KrI |
| KrI |  5229.632790 |    1 |     0 |        20 | lbt_mods_KrI |
| KrI |  5281.303800 |    1 |     0 |         9 | lbt_mods_KrI |
| KrI |  5336.238900 |    1 |     0 |        10 | lbt_mods_KrI |
| KrI |  5340.603400 |    1 |     0 |        20 | lbt_mods_KrI |
| KrI |  5381.132500 |    1 |     0 |        15 | lbt_mods_KrI |
| KrI |  5492.461550 |    1 |     0 |        50 | lbt_mods_KrI |
| KrI |  5502.238310 |    1 |     0 |        50 | lbt_mods_KrI |
| KrI |  5518.199000 |    1 |     0 |        20 | lbt_mods_KrI |
| KrI |  5522.043730 |    1 |     0 |        40 | lbt_mods_KrI |
| KrI |  5563.769970 |    1 |     0 |       500 | lbt_mods_KrI |
| KrI |  5571.836230 |    1 |     0 |      2000 | lbt_mods_KrI |
| KrI |  5581.936780 |    1 |     0 |        80 | lbt_mods_KrI |
| KrI |  5651.129750 |    1 |     0 |       100 | lbt_mods_KrI |
| KrI |  5674.025000 |    1 |     0 |        50 | lbt_mods_KrI |
| KrI |  5709.096400 |    1 |     0 |        40 | lbt_mods_KrI |
| KrI |  5826.133300 |    1 |     0 |        40 | lbt_mods_KrI |
| KrI |  5834.473630 |    1 |     0 |       100 | lbt_mods_KrI |
| KrI |  5868.376270 |    1 |     0 |        50 | lbt_mods_KrI |
| KrI |  5872.543200 |    1 |     0 |      3000 | lbt_mods_KrI |
| KrI |  5881.529970 |    1 |     0 |        50 | lbt_mods_KrI |
| KrI |  5947.099570 |    1 |     0 |         5 | lbt_mods_KrI |
| KrI |  5979.301540 |    1 |     0 |         4 | lbt_mods_KrI |
| KrI |  5995.510350 |    1 |     0 |        60 | lbt_mods_KrI |
