| wave      | ion | NIST | Instr | amplitude |  Source |
| 14351.320 | KrI |    1 |    99 |      99.2 | unknown |
| 14406.170 | KrI |    1 |    30 |      29.7 | unknown |
| 14430.736 | KrI |    1 |   598 |     597.5 | unknown |
| 14472.976 | KrI |    1 |    23 |      23.0 | unknown |
| 14738.469 | KrI |    1 |   836 |     836.3 | unknown |
| 14965.987 | KrI |    1 |   159 |     158.8 | unknown |
| 15009.410 | KrI |    1 |    38 |      38.3 | unknown |
| 15213.686 | KrI |    1 |    79 |      79.2 | unknown |
| 15243.787 | KrI |    1 |  1669 |    1668.7 | unknown |
| 15339.158 | KrI |    1 |  1241 |    1240.6 | unknown |
| 15376.241 | KrI |    1 |   468 |     468.1 | unknown |
| 15478.249 | KrI |    1 |    81 |      81.3 | unknown |
| 15639.687 | KrI |    1 |    12 |      12.4 | unknown |
| 15685.290 | KrI |    1 |   118 |     117.5 | unknown |
| 15824.387 | KrI |    1 |    55 |      55.4 | unknown |
| 15895.067 | KrI |    1 |    33 |      33.0 | unknown |
| 16319.630 | KrI |    1 |    24 |      24.0 | unknown |
| 16470.259 | KrI |    1 |    14 |      13.7 | unknown |
| 16731.076 | KrI |    1 |   228 |     227.5 | unknown |
| 16789.718 | KrI |    1 |  5369 |    5368.8 | unknown |
| 16858.102 | KrI |    1 |   836 |     836.5 | unknown |
| 16895.067 | KrI |    1 |  5044 |    5044.5 | unknown |
| 16901.380 | KrI |    1 |   980 |     979.8 | unknown |
| 16940.439 | KrI |    1 |  1761 |    1761.2 | unknown |
| 17103.449 | KrI |    1 |   503 |     503.2 | unknown |
| 17235.389 | KrI |    1 |    28 |      28.0 | unknown |
| 17409.204 | KrI |    1 |    85 |      84.5 | unknown |
| 17621.605 | KrI |    1 |   111 |     110.9 | unknown |
| 17847.582 | KrI |    1 |   423 |     423.5 | unknown |
| 18007.146 | KrI |    1 |   638 |     637.9 | unknown |
| 18104.328 | KrI |    1 |    33 |      33.0 | unknown |
| 18172.288 | KrI |    1 |  8569 |    8568.6 | unknown |
| 18190.017 | KrI |    1 |    46 |      46.4 | unknown |
| 18585.982 | KrI |    1 |    72 |      72.5 | unknown |
| 18701.481 | KrI |    1 |   282 |     281.9 | unknown |
| 18802.753 | KrI |    1 |   202 |     201.8 | unknown |
| 20215.342 | KrI |    1 |    96 |      96.4 | unknown |
| 20429.460 | KrI |    1 |   149 |     149.3 | unknown |
| 21171.266 | KrI |    1 |   301 |     300.7 | unknown |
| 21908.510 | KrI |    1 |  1352 |    1351.8 | unknown |
| 22491.824 | KrI |    1 |    19 |      18.7 | unknown |
| 23346.687 | KrI |    1 |    36 |      35.8 | unknown |
| 23508.785 | KrI |    1 |    13 |      13.1 | unknown |
| 24267.150 | KrI |    1 |     9 |       9.2 | unknown |
| 24298.750 | KrI |    1 |    11 |      10.9 | unknown |
