|  ion |       wave | NIST | Instr | amplitude |     Source |
| Ne I |  9489.2849 |  1.0 |   0.0 |     15000 |       NIST |
| Xe I |    9499.68 |  1.0 |   0.0 |      9000 |       NIST |
| Xe I |    9508.39 |  1.0 |   0.0 |      1875 |       NIST |
| Xe I |   9515.987 |  1.0 |   0.0 |    225000 |       NIST |
| Ne I |  9536.7793 |  1.0 |   0.0 |    150000 |       NIST |
| Kr I |    9543.51 |  1.0 |   0.0 |      8250 |       NIST |
| Ne I |  9550.0241 |  1.0 |   0.0 |     60000 |       NIST |
| Xe I |    9587.77 |  1.0 |   0.0 |      6000 |       NIST |
| Ne I |  9668.0709 |  1.0 |   0.0 |    225000 |       NIST |
| Xe I |    9687.98 |  1.0 |   0.0 |    105000 |       NIST |
| Kr I |    9690.49 |  1.0 |   0.0 |      2250 |       NIST |
| Xe I |    9703.65 |  1.0 |   0.0 |      7500 |       NIST |
| Kr I |    9706.88 |  1.0 |   0.0 |     17250 |       NIST |
| Kr I |    9717.51 |  1.0 |   0.0 |      2250 |       NIST |
| Xe I |    9720.83 |  1.0 |   0.0 |     42000 |       NIST |
| Kr I |    9745.78 |  1.0 |   0.0 |     12000 |       NIST |
| Kr I |    9858.94 |  1.0 |   0.0 |    105000 |       NIST |
| Ar I |    9954.57 |  1.0 |   0.0 |      1800 | U Kentucky |
| Xe I |    9969.31 |  1.0 |   0.0 |      1500 |       NIST |
| Xe I |   10026.47 |  1.0 |   0.0 |     39000 |       NIST |
| Ar I |   10032.41 |  1.0 |   0.0 |      1125 | U Kentucky |
| Ar I |   10054.82 |  1.0 |   0.0 |      8100 |       NIST |
| Xe I |    10059.6 |  1.0 |   0.0 |      1500 |       NIST |
| Xe I |   10060.72 |  1.0 |   0.0 |      2700 |       NIST |
| Xe I |   10063.72 |  1.0 |   0.0 |      3750 |       NIST |
| Xe I |   10087.55 |  1.0 |   0.0 |     16800 |       NIST |
| Xe I |   10110.11 |  1.0 |   0.0 |    115500 |       NIST |
| Kr I |   10123.73 |  1.0 |   0.0 |      1800 |       NIST |
| Xe I |   10128.25 |  1.0 |   0.0 |     15000 |       NIST |
| Kr I |   10150.46 |  1.0 |   0.0 |       900 |       NIST |
