# Creation Date 2023-08-09 
# Line List Curated by Greg Doppmann 
| ion |       wave | NIST | Instr | amplitude |           Source | 
| OH  |   18433.55 |  0   |   0   | 2.47E+02  |             Greg | 
| OH  |   18459.40 |  0   |   0   | 9.70E+02  |             Greg | 
| OH  |   18459.77 |  0   |   0   | 9.70E+02  |             Greg | 
| OH  |   18526.07 |  0   |   0   | 1.11E+03  |             Greg | 
| OH  |   18561.35 |  0   |   0   | 1.51E+02  |             Greg | 
| OH  |   18587.33 |  0   |   0   | 3.97E+02  |             Greg | 
| OH  |   18741.12 |  0   |   0   | 3.01E+02  |             Greg | 
| OH  |   18758.19 |  0   |   0   | 9.33E+01  |             Greg | 
| OH  |   18796.41 |  0   |   0   | 3.90E+02  |             Greg | 
| OH  |   18915.02 |  0   |   0   | 6.24E+02  |             Greg | 
| OH  |   19048.43 |  0   |   0   | 8.32E+02  |             Greg | 
| OH  |   19193.54 |  0   |   0   | 7.04E+02  |             Greg | 
| OH  |   19249.75 |  0   |   0   | 1.77E+03  |             Greg | 
| OH  |   19250.87 |  0   |   0   | 1.77E+03  |             Greg | 
| OH  |   19349.91 |  0   |   0   | 4.34E+02  |             Greg | 
| OH  |   19350.11 |  0   |   0   | 4.34E+02  |             Greg | 
| OH  |   19350.32 |  0   |   0   | 4.34E+02  |             Greg | 
| OH  |   19513.55 |  0   |   0   | 3.55E+00  |             Greg | 
| OH  |   19518.05 |  0   |   0   | 2.04E+02  |             Greg | 
| OH  |   19518.83 |  0   |   0   | 2.04E+02  |             Greg | 
| OH  |   19528.41 |  0   |   0   | 1.60E+01  |             Greg | 
| OH  |   19528.82 |  0   |   0   | 1.60E+01  |             Greg | 
| OH  |   19560.00 |  0   |   0   | 4.14E+02  |             Greg | 
| OH  |   19562.06 |  0   |   0   | 4.14E+02  |             Greg | 
| OH  |   19593.17 |  0   |   0   | 1.70E+02  |             Greg | 
| OH  |   19593.67 |  0   |   0   | 1.70E+02  |             Greg | 
| OH  |   19618.49 |  0   |   0   | 8.38E+01  |             Greg | 
| OH  |   19618.95 |  0   |   0   | 8.38E+01  |             Greg | 
| OH  |   19642.24 |  0   |   0   | 3.89E+02  |             Greg | 
| OH  |   19642.70 |  0   |   0   | 3.89E+02  |             Greg | 
| OH  |   19698.35 |  0   |   0   | 7.46E+01  |             Greg | 
| OH  |   19699.53 |  0   |   0   | 7.46E+01  |             Greg | 
| OH  |   19702.27 |  0   |   0   | 6.68E+02  |             Greg | 
| OH  |   19734.92 |  0   |   0   | 1.41E+02  |             Greg | 
| OH  |   19737.50 |  0   |   0   | 1.41E+02  |             Greg | 
| OH  |   19751.51 |  0   |   0   | 2.69E+02  |             Greg | 
| OH  |   19771.86 |  0   |   0   | 7.44E+02  |             Greg | 
| OH  |   19839.73 |  0   |   0   | 2.67E+02  |             Greg | 
| OH  |   19891.36 |  0   |   0   | 2.16E+01  |             Greg | 
| OH  |   19892.97 |  0   |   0   | 2.16E+01  |             Greg | 
| OH  |   19923.51 |  0   |   0   | 3.84E+01  |             Greg | 
| OH  |   19926.65 |  0   |   0   | 3.84E+01  |             Greg | 
| OH  |   20005.02 |  0   |   0   | 2.00E+02  |             Greg | 
| OH  |   20008.16 |  0   |   0   | 1.89E+03  |             Greg | 
| OH  |   20033.21 |  0   |   0   | 7.39E+02  |             Greg | 
| OH  |   20097.69 |  0   |   0   | 5.01E+00  |             Greg | 
| OH  |   20099.77 |  0   |   0   | 5.01E+00  |             Greg | 
| OH  |   20126.22 |  0   |   0   | 8.46E+00  |             Greg | 
| OH  |   20129.97 |  0   |   0   | 8.46E+00  |             Greg | 
| OH  |   20193.02 |  0   |   0   | 4.19E+02  |             Greg | 
| OH  |   20275.65 |  0   |   0   | 1.42E+03  |             Greg | 
| OH  |   20276.03 |  0   |   0   | 1.42E+03  |             Greg | 
| OH  |   20339.50 |  0   |   0   | 5.71E+02  |             Greg | 
| OH  |   20343.55 |  0   |   0   | 1.52E+00  |             Greg | 
| OH  |   20347.96 |  0   |   0   | 1.52E+00  |             Greg | 
| OH  |   20412.31 |  0   |   0   | 1.66E+03  |             Greg | 
| OH  |   20413.06 |  0   |   0   | 1.66E+03  |             Greg | 
| OH  |   20499.36 |  0   |   0   | 5.01E+02  |             Greg | 
| OH  |   20562.95 |  0   |   0   | 1.27E+03  |             Greg | 
| OH  |   20564.14 |  0   |   0   | 1.27E+03  |             Greg | 
| OH  |   20728.17 |  0   |   0   | 7.30E+02  |             Greg | 
| OH  |   20729.86 |  0   |   0   | 7.30E+02  |             Greg | 
| OH  |   20803.67 |  0   |   0   | 1.75E-02  |             Greg | 
| OH  |   20807.36 |  0   |   0   | 1.75E-02  |             Greg | 
| OH  |   20824.59 |  0   |   0   | 2.67E-02  |             Greg | 
| OH  |   20830.49 |  0   |   0   | 2.67E-02  |             Greg | 
| OH  |   20859.87 |  0   |   0   | 1.60E+02  |             Greg | 
| OH  |   20860.62 |  0   |   0   | 1.60E+02  |             Greg | 
| OH  |   20908.45 |  0   |   0   | 3.30E+02  |             Greg | 
| OH  |   20910.69 |  0   |   0   | 3.30E+02  |             Greg | 
| OH  |   21012.30 |  0   |   0   | 1.15E+01  |             Greg | 
| OH  |   21014.45 |  0   |   0   | 1.60E+00  |             Greg | 
| OH  |   21025.85 |  0   |   0   | 6.45E+00  |             Greg | 
| OH  |   21033.26 |  0   |   0   | 3.96E+01  |             Greg | 
| OH  |   21061.50 |  0   |   0   | 6.29E+01  |             Greg | 
| OH  |   21062.69 |  0   |   0   | 6.29E+01  |             Greg | 
| OH  |   21067.94 |  0   |   0   | 1.10E+02  |             Greg | 
| OH  |   21096.60 |  0   |   0   | 5.41E+01  |             Greg | 
| OH  |   21104.28 |  0   |   0   | 1.20E+02  |             Greg | 
| OH  |   21107.10 |  0   |   0   | 1.20E+02  |             Greg | 
| OH  |   21115.65 |  0   |   0   | 2.42E+02  |             Greg | 
| OH  |   21116.06 |  0   |   0   | 2.42E+02  |             Greg | 
| OH  |   21156.12 |  0   |   0   | 1.09E+02  |             Greg | 
| OH  |   21176.56 |  0   |   0   | 4.03E+02  |             Greg | 
| OH  |   21232.42 |  0   |   0   | 1.63E+02  |             Greg | 
| OH  |   21249.59 |  0   |   0   | 4.39E+02  |             Greg | 
| OH  |   21278.22 |  0   |   0   | 1.97E+01  |             Greg | 
| OH  |   21279.89 |  0   |   0   | 1.97E+01  |             Greg | 
| OH  |   21316.18 |  0   |   0   | 3.54E+01  |             Greg | 
| OH  |   21319.65 |  0   |   0   | 3.54E+01  |             Greg | 
| OH  |   21325.97 |  0   |   0   | 1.58E+02  |             Greg | 
| OH  |   21507.31 |  0   |   0   | 1.12E+03  |             Greg | 
| OH  |   21510.81 |  0   |   0   | 4.99E+00  |             Greg | 
| OH  |   21513.01 |  0   |   0   | 4.99E+00  |             Greg | 
| OH  |   21537.46 |  0   |   0   | 4.49E+02  |             Greg | 
| OH  |   21537.59 |  0   |   0   | 4.49E+02  |             Greg | 
| OH  |   21544.78 |  0   |   0   | 8.52E+00  |             Greg | 
| OH  |   21548.95 |  0   |   0   | 8.52E+00  |             Greg | 
| OH  |   21710.93 |  0   |   0   | 2.51E+02  |             Greg | 
