# Creation Date 2023-08-09 
# Line List Curated by Greg Doppmann 
| ion |       wave | NIST | Instr | amplitude |           Source | 
| OH  |    9479.35 |  0   |   0   | 5.38E+01  |             Greg | 
| OH  |    9479.56 |  0   |   0   | 5.38E+01  |             Greg | 
| OH  |    9505.42 |  0   |   0   | 1.61E+01  |             Greg | 
| OH  |    9521.79 |  0   |   0   | 4.06E+01  |             Greg | 
| OH  |    9522.14 |  0   |   0   | 4.06E+01  |             Greg | 
| OH  |    9555.15 |  0   |   0   | 1.03E+01  |             Greg | 
| OH  |    9569.71 |  0   |   0   | 2.31E+01  |             Greg | 
| OH  |    9570.21 |  0   |   0   | 2.31E+01  |             Greg | 
| OH  |    9623.94 |  0   |   0   | 1.04E+01  |             Greg | 
| OH  |    9682.61 |  0   |   0   | 3.76E+00  |             Greg | 
| OH  |    9683.47 |  0   |   0   | 3.76E+00  |             Greg | 
| OH  |    9684.90 |  0   |   0   | 1.52E+01  |             Greg | 
| OH  |    9702.00 |  0   |   0   | 3.18E+01  |             Greg | 
| OH  |    9722.50 |  0   |   0   | 4.08E+01  |             Greg | 
| OH  |    9740.76 |  0   |   0   | 1.49E+01  |             Greg | 
| OH  |    9792.10 |  0   |   0   | 1.20E+01  |             Greg | 
| OH  |    9793.80 |  0   |   0   | 1.10E+02  |             Greg | 
| OH  |    9802.36 |  0   |   0   | 3.81E+01  |             Greg | 
| OH  |    9851.19 |  0   |   0   | 2.44E+01  |             Greg | 
| OH  |    9874.84 |  0   |   0   | 8.16E+01  |             Greg | 
| OH  |    9897.46 |  0   |   0   | 3.01E+01  |             Greg | 
| OH  |    9917.25 |  0   |   0   | 8.43E+01  |             Greg | 
| OH  |    9917.53 |  0   |   0   | 8.43E+01  |             Greg | 
| OH  |    9944.37 |  0   |   0   | 2.20E+01  |             Greg | 
| OH  |    9944.92 |  0   |   0   | 1.07E+01  |             Greg | 
| OH  |    9947.99 |  0   |   0   | 2.25E+01  |             Greg | 
| OH  |    9949.24 |  0   |   0   | 3.47E+01  |             Greg | 
| OH  |    9950.47 |  0   |   0   | 9.61E+00  |             Greg | 
| OH  |    9951.09 |  0   |   0   | 4.12E+00  |             Greg | 
| OH  |    9959.35 |  0   |   0   | 3.60E+01  |             Greg | 
| OH  |    9964.45 |  0   |   0   | 5.41E+01  |             Greg | 
| OH  |    9964.88 |  0   |   0   | 5.41E+01  |             Greg | 
| OH  |   10015.56 |  0   |   0   | 8.36E+01  |             Greg | 
| OH  |   10085.23 |  0   |   0   | 5.96E+01  |             Greg | 
| OH  |   10106.37 |  0   |   0   | 2.43E+01  |             Greg | 
| OH  |   10126.67 |  0   |   0   | 7.05E+01  |             Greg | 
| OH  |   10126.78 |  0   |   0   | 7.05E+01  |             Greg | 
| OH  |   10126.90 |  0   |   0   | 7.05E+01  |             Greg | 
| OH  |   10155.76 |  0   |   0   | 2.17E+01  |             Greg | 
| OH  |   10174.30 |  0   |   0   | 5.51E+01  |             Greg | 
| OH  |   10174.68 |  0   |   0   | 5.51E+01  |             Greg | 
| OH  |   10183.83 |  0   |   0   | 2.22E+01  |             Greg | 
| OH  |   10192.50 |  0   |   0   | 9.54E+01  |             Greg | 
| OH  |   10205.84 |  0   |   0   | 3.91E+01  |             Greg | 
| OH  |   10211.58 |  0   |   0   | 1.45E+01  |             Greg | 
| OH  |   10213.85 |  0   |   0   | 1.18E+02  |             Greg | 
| OH  |   10228.31 |  0   |   0   | 3.29E+01  |             Greg | 
| OH  |   10228.86 |  0   |   0   | 3.29E+01  |             Greg | 
| OH  |   10233.46 |  0   |   0   | 4.25E+01  |             Greg | 
| OH  |   10273.90 |  0   |   0   | 7.56E+00  |             Greg | 
| OH  |   10289.67 |  0   |   0   | 1.57E+01  |             Greg | 
| OH  |   10298.85 |  0   |   0   | 1.09E+02  |             Greg | 
| OH  |   10350.13 |  0   |   0   | 6.73E+01  |             Greg | 
| OH  |   10375.72 |  0   |   0   | 2.25E+02  |             Greg | 
| OH  |   10399.39 |  0   |   0   | 8.41E+01  |             Greg | 
| OH  |   10421.07 |  0   |   0   | 2.37E+02  |             Greg | 
| OH  |   10421.37 |  0   |   0   | 2.37E+02  |             Greg | 
| OH  |   10453.37 |  0   |   0   | 6.46E+01  |             Greg | 
| OH  |   10471.60 |  0   |   0   | 1.57E+02  |             Greg | 
| OH  |   10472.06 |  0   |   0   | 1.57E+02  |             Greg | 
| OH  |   10511.92 |  0   |   0   | 3.49E+01  |             Greg | 
| OH  |   10512.11 |  0   |   0   | 3.49E+01  |             Greg | 
