# Creation Date: 2024-11-16
| ion |       wave | NIST | Instr | amplitude |       Source |
| NeI |  5039.1560 |    1 |     0 |      5000 | lbt_mods_NeI |
| NeI |  5332.2603 |    1 |     0 |      6000 | lbt_mods_NeI |
| NeI |  5342.5794 |    1 |     0 |     10000 | lbt_mods_NeI |
| NeI |  5402.0631 |    1 |     0 |     20000 | lbt_mods_NeI |
| NeI |  5564.3110 |    1 |     0 |      5000 | lbt_mods_NeI |
| NeI |  5658.2287 |    1 |     0 |      5000 | lbt_mods_NeI |
| NeI |  5720.8114 |    1 |     0 |      5000 | lbt_mods_NeI |
| NeI |  5749.8929 |    1 |     0 |      5000 | lbt_mods_NeI |
| NeI |  5766.0175 |    1 |     0 |      7000 | lbt_mods_NeI |
| NeI |  5806.0590 |    1 |     0 |      5000 | lbt_mods_NeI |
| NeI |  5821.7694 |    1 |     0 |      5000 | lbt_mods_NeI |
| NeI |  5854.1101 |    1 |     0 |     20000 | lbt_mods_NeI |
| NeI |  5874.4552 |    1 |     0 |      5000 | lbt_mods_NeI |
| NeI |  5883.5252 |    1 |     0 |     10000 | lbt_mods_NeI |
| NeI |  5904.0980 |    1 |     0 |       500 | lbt_mods_NeI |
| NeI |  5908.0661 |    1 |     0 |       500 | lbt_mods_NeI |
| NeI |  5946.4810 |    1 |     0 |      5000 | lbt_mods_NeI |
| NeI |  5967.1235 |    1 |     0 |      5000 | lbt_mods_NeI |
| NeI |  5976.2823 |    1 |     0 |      5000 | lbt_mods_NeI |
| NeI |  5977.1895 |    1 |     0 |      6000 | lbt_mods_NeI |
| NeI |  5989.5660 |    1 |     0 |      1500 | lbt_mods_NeI |
| NeI |  6031.6666 |    1 |     0 |     10000 | lbt_mods_NeI |
| NeI |  6076.0193 |    1 |     0 |     10000 | lbt_mods_NeI |
| NeI |  6097.8506 |    1 |     0 |      3000 | lbt_mods_NeI |
| NeI |  6130.1460 |    1 |     0 |      1000 | lbt_mods_NeI |
| NeI |  6144.7629 |    1 |     0 |     10000 | lbt_mods_NeI |
| NeI |  6165.2994 |    1 |     0 |     10000 | lbt_mods_NeI |
| NeI |  6183.8566 |    1 |     0 |      1500 | lbt_mods_NeI |
| NeI |  6219.0013 |    1 |     0 |     10000 | lbt_mods_NeI |
| NeI |  6268.2285 |    1 |     0 |     10000 | lbt_mods_NeI |
| NeI |  6306.5329 |    1 |     0 |      1000 | lbt_mods_NeI |
| NeI |  6329.9144 |    1 |     0 |      3000 | lbt_mods_NeI |
| NeI |  6336.1791 |    1 |     0 |     10000 | lbt_mods_NeI |
| NeI |  6384.7560 |    1 |     0 |     10000 | lbt_mods_NeI |
| NeI |  6404.0180 |    1 |     0 |     20000 | lbt_mods_NeI |
