# Created Apr 2022. Wavelengths are in vacuum
|     wave |  ion | NIST | Instr |     amplitude |               Source |
|  8649.42 |  NeI |    1 |    32 |          6000 |                 NIST |
|  8868.19 |  NeI |    1 |    32 |         15000 |                 NIST |
|  8991.02 |  NeI |    1 |    32 |          1800 |                 NIST |
|  9039.48 |  NeI |    1 |    32 |             9 |                 NIST |
|  9278.06 |  NeI |    1 |    32 |           910 |                 NIST |
|  9536.78 |  NeI |    1 |    32 |          6100 | keck_mosfire_webpage |
|  9668.07 |  NeI |    1 |    32 |         18000 | keck_mosfire_webpage |
| 10298.24 |  NeI |    1 |    32 |           420 | keck_mosfire_webpage |
| 10565.30 |  NeI |    1 |    32 |          8000 | keck_mosfire_webpage |
| 10623.57 |  NeI |    1 |    32 |           780 | keck_mosfire_webpage |
| 10676.79 |  NeI |    1 |    32 |            19 | keck_mosfire_webpage |
| 10801.00 |  NeI |    1 |    32 |          6100 | keck_mosfire_webpage |
| 10847.45 |  NeI |    1 |    32 |          9400 | keck_mosfire_webpage |
| 11052.75 |  NeI |    1 |    32 |           200 | keck_mosfire_webpage |
| 11146.07 |  NeI |    1 |    32 |         26000 | keck_mosfire_webpage |
| 11180.58 |  NeI |    1 |    32 |         49000 | keck_mosfire_webpage |
| 11296.06 |  NeI |    1 |    32 |            65 | keck_mosfire_webpage |
| 11301.54 |  NeI |    1 |    32 |            46 |                 NIST |
| 11393.55 |  NeI |    1 |    32 |         15000 | keck_mosfire_webpage |
| 11412.26 |  NeI |    1 |    32 |          8800 | keck_mosfire_webpage |
| 11525.90 |  NeI |    1 |    32 |         33000 | keck_mosfire_webpage |
| 11528.17 |  NeI |    1 |    32 |         17000 | keck_mosfire_webpage |
| 11539.50 |  NeI |    1 |    32 |          9100 | keck_mosfire_webpage |
| 11604.71 |  NeI |    1 |    32 |          2600 | keck_mosfire_webpage |
| 11617.26 |  NeI |    1 |    32 |         13000 | keck_mosfire_webpage |
| 11691.20 |  NeI |    1 |    32 |          2800 | keck_mosfire_webpage |
| 11770.01 |  NeI |    1 |    32 |         15000 | keck_mosfire_webpage |
| 11792.27 |  NeI |    1 |    32 |         13000 | keck_mosfire_webpage |
| 11793.12 |  NeI |    1 |    32 |          3200 | keck_mosfire_webpage |
| 11983.06 |  NeI |    1 |    32 |            20 | keck_mosfire_webpage |
| 11988.19 |  NeI |    1 |    32 |          7400 | keck_mosfire_webpage |
| 11999.85 |  NeI |    1 |    32 |            18 | keck_mosfire_webpage |
| 12001.10 |  NeI |    1 |    32 |             5 | keck_mosfire_webpage |
| 12069.64 |  NeI |    1 |    32 |         23000 | keck_mosfire_webpage |
| 12392.37 |  NeI |    1 |    32 |             3 | keck_mosfire_webpage |
| 12412.16 |  NeI |    1 |    32 |             4 | keck_mosfire_webpage |
| 12433.91 |  NeI |    1 |    32 |            18 | keck_mosfire_webpage |
| 12456.78 |  NeI |    1 |    32 |            75 | keck_mosfire_webpage |
| 12462.80 |  NeI |    1 |    32 |          4300 | keck_mosfire_webpage |
| 12467.53 |  NeI |    1 |    32 |           160 | keck_mosfire_webpage |
| 12523.66 |  NeI |    1 |    32 |            21 | keck_mosfire_webpage |
| 12541.17 |  NeI |    1 |    32 |            15 | keck_mosfire_webpage |
| 12563.20 |  NeI |    1 |    32 |            48 | keck_mosfire_webpage |
| 12574.44 |  NeI |    1 |    32 |           130 | keck_mosfire_webpage |
| 12580.79 |  NeI |    1 |    32 |             8 | keck_mosfire_webpage |
| 12583.59 |  NeI |    1 |    32 |             6 | keck_mosfire_webpage |
| 12588.05 |  NeI |    1 |    32 |          1200 | keck_mosfire_webpage |
| 12590.87 |  NeI |    1 |    32 |           850 | keck_mosfire_webpage |
| 12598.45 |  NeI |    1 |    32 |          1600 | keck_mosfire_webpage |
| 12604.23 |  NeI |    1 |    32 |            32 | keck_mosfire_webpage |
| 12604.74 |  NeI |    1 |    32 |            13 | keck_mosfire_webpage |
| 12606.77 |  NeI |    1 |    32 |            18 | keck_mosfire_webpage |
| 12607.63 |  NeI |    1 |    32 |           550 | keck_mosfire_webpage |
| 12621.12 |  NeI |    1 |    32 |           150 | keck_mosfire_webpage |
| 12634.48 |  NeI |    1 |    32 |             6 | keck_mosfire_webpage |
| 12643.77 |  NeI |    1 |    32 |           500 | keck_mosfire_webpage |
| 12646.20 |  NeI |    1 |    32 |           710 | keck_mosfire_webpage |
| 12654.44 |  NeI |    1 |    32 |           330 | keck_mosfire_webpage |
| 12661.81 |  NeI |    1 |    32 |           470 | keck_mosfire_webpage |
| 12687.00 |  NeI |    1 |    32 |           300 | keck_mosfire_webpage |
| 12692.67 |  NeI |    1 |    32 |          6500 | keck_mosfire_webpage |
| 12722.28 |  NeI |    1 |    32 |            23 | keck_mosfire_webpage |
| 12730.27 |  NeI |    1 |    32 |            11 | keck_mosfire_webpage |
| 12749.71 |  NeI |    1 |    32 |           540 | keck_mosfire_webpage |
| 12752.61 |  NeI |    1 |    32 |           710 | keck_mosfire_webpage |
| 12759.14 |  NeI |    1 |    32 |           170 | keck_mosfire_webpage |
| 12763.44 |  NeI |    1 |    32 |            37 | keck_mosfire_webpage |
| 12773.02 |  NeI |    1 |    32 |          1600 | keck_mosfire_webpage |
| 12780.15 |  NeI |    1 |    32 |            16 | keck_mosfire_webpage |
| 12856.55 |  NeI |    1 |    32 |             5 | keck_mosfire_webpage |
| 12867.61 |  NeI |    1 |    32 |             7 | keck_mosfire_webpage |
| 12868.25 |  NeI |    1 |    32 |            11 | keck_mosfire_webpage |
| 12890.69 |  NeI |    1 |    32 |            14 | keck_mosfire_webpage |
| 12915.55 |  NeI |    1 |    32 |          8400 | keck_mosfire_webpage |
| 12983.62 |  NeI |    1 |    32 |            25 | keck_mosfire_webpage |
| 13058.36 |  NeI |    1 |    32 |            12 | keck_mosfire_webpage |
| 13062.39 |  NeI |    1 |    32 |             6 | keck_mosfire_webpage |
| 13099.98 |  NeI |    1 |    32 |             6 | keck_mosfire_webpage |
| 13129.76 |  NeI |    1 |    32 |             6 | keck_mosfire_webpage |
| 13131.27 |  NeI |    1 |    32 |            12 | keck_mosfire_webpage |
| 13149.04 |  NeI |    1 |    32 |             5 | keck_mosfire_webpage |
