# Created by DP on 2022-Apr-13. R=3318 (from MOSFIRE website) and dv=40km/s
# Wavelengths are in vacuum
|               wave | ion | NIST | Instr |           amplitude |       Source |
| 10002.737732326823 |  OH |    1 |    32 |  1.8733106788891514 | wavemodel.py |
| 10015.694896445466 |  OH |    1 |    32 |  16.866530433279923 | wavemodel.py |
|  10028.17485892513 |  OH |    1 |    32 |   5.529114671930394 | wavemodel.py |
| 10046.262467884038 |  OH |    1 |    32 |  1.9534255486472722 | wavemodel.py |
| 10063.206210963604 |  OH |    1 |    32 |  3.1164581453737554 | wavemodel.py |
| 10073.171150134895 |  OH |    1 |    32 |   1.324539493550479 | wavemodel.py |
| 10085.231364658892 |  OH |    1 |    32 |   9.060828332940025 | wavemodel.py |
| 10106.374281569606 |  OH |    1 |    32 |   3.779312319394128 | wavemodel.py |
| 10126.765428745884 |  OH |    1 |    32 |  10.650217462026879 | wavemodel.py |
| 10155.702499562914 |  OH |    1 |    32 |   3.934263093820297 | wavemodel.py |
| 10161.217052705693 |  OH |    1 |    32 |   2.861259189966125 | wavemodel.py |
| 10167.099926317696 |  OH |    1 |    32 |  1.3879200268532879 | wavemodel.py |
| 10174.680120448991 |  OH |    1 |    32 |  16.423368747312946 | wavemodel.py |
| 10183.824988693448 |  OH |    1 |    32 |   3.236452818253632 | wavemodel.py |
| 10192.499316969217 |  OH |    1 |    32 |  15.699228106230327 | wavemodel.py |
| 10205.859310560716 |  OH |    1 |    32 |     6.1844618964848 | wavemodel.py |
|  10213.71913755881 |  OH |    1 |    32 |  18.114253985284662 | wavemodel.py |
| 10228.729642802216 |  OH |    1 |    32 |   4.884090094899883 | wavemodel.py |
| 10233.325082755118 |  OH |    1 |    32 |   7.019572893356115 | wavemodel.py |
| 10273.896687377137 |  OH |    1 |    32 |   1.102074823754307 | wavemodel.py |
| 10289.332925278957 |  OH |    1 |    32 |  54.720781116034495 | wavemodel.py |
| 10298.793700683776 |  OH |    1 |    32 |   17.34548327029354 | wavemodel.py |
| 10312.321086969008 |  OH |    1 |    32 |   5.239716593912213 | wavemodel.py |
| 10330.094037823963 |  OH |    1 |    32 |  1.4850348895301702 | wavemodel.py |
|  10342.92661933479 |  OH |    1 |    32 | 0.48499219881091205 | wavemodel.py |
| 10350.167215481295 |  OH |    1 |    32 |  11.229874506503483 | wavemodel.py |
| 10356.645681182528 |  OH |    1 |    32 |  0.9206478152703977 | wavemodel.py |
| 10375.719909367148 |  OH |    1 |    32 |   33.28959800157553 | wavemodel.py |
| 10399.385859589705 |  OH |    1 |    32 |   12.36609838072822 | wavemodel.py |
| 10421.213692992476 |  OH |    1 |    32 |   37.85109857471444 | wavemodel.py |
|  10453.36490221074 |  OH |    1 |    32 |  10.080575496398982 | wavemodel.py |
