|               wave | ion | NIST | Instr |           amplitude |   Source |
|  8016.262926376403 |  OH |    1 |    32 |  0.4732461034601102 | IDL code |
|  8028.017542223396 |  OH |    1 |    32 |  1.0566007109630116 | IDL code |
|  8064.395123111271 |  OH |    1 |    32 | 0.48274225922901287 | IDL code |
|  8283.897014173284 |  OH |    1 |    32 |  0.7838427559146679 | IDL code |
|  8290.880888946502 |  OH |    1 |    32 |  1.4130403809249636 | IDL code |
|  8298.519838359367 |  OH |    1 |    32 |  0.5682815303947479 | IDL code |
|  8301.177600905543 |  OH |    1 |    32 |   1.686767643145128 | IDL code |
|  8313.004066720227 |  OH |    1 |    32 |  0.5755604725840074 | IDL code |
|  8346.895513048865 |  OH |    1 |    32 |  4.0728287074373375 | IDL code |
|  8355.161532557699 |  OH |    1 |    32 |  1.5685892528213532 | IDL code |
|  8367.019286632543 |  OH |    1 |    32 |  0.5486586561665969 | IDL code |
|  8384.695293103627 |  OH |    1 |    32 |  0.9274635600831352 | IDL code |
|  8401.477917111702 |  OH |    1 |    32 |  3.1167755588125816 | IDL code |
|  8417.542857548424 |  OH |    1 |    32 |  1.1908973058677568 | IDL code |
|  8432.491416693701 |  OH |    1 |    32 |  3.1758760642724075 | IDL code |
|  8454.572234414307 |  OH |    1 |    32 |  0.9886467604327114 | IDL code |
|  8467.684715840089 |  OH |    1 |    32 |  2.2061612576587617 | IDL code |
|  8495.722690586927 |  OH |    1 |    32 |  0.5504985993695735 | IDL code |
|  8507.177631663866 |  OH |    1 |    32 |  1.0814716798827582 | IDL code |
|  8761.125286336617 |  OH |    1 |    32 |   0.529866860356389 | IDL code |
|  8763.750108186934 |  OH |    1 |    32 |  1.4616850831284436 | IDL code |
|  8769.385066493256 |  OH |    1 |    32 |  0.5803253743483876 | IDL code |
|   8770.31457262989 |  OH |    1 |    32 |   2.261768681801078 | IDL code |
|  8778.618891510076 |  OH |    1 |    32 |  0.8570218940452932 | IDL code |
|   8780.74340856742 |  OH |    1 |    32 |  2.4833864129721017 | IDL code |
|   8793.59986535332 |  OH |    1 |    32 |  0.8520731128235953 | IDL code |
|  8828.236630204108 |  OH |    1 |    32 |  0.6663516388197626 | IDL code |
|  8829.518570152592 |  OH |    1 |    32 |   6.201693516784858 | IDL code |
|  8838.863660416322 |  OH |    1 |    32 |   2.246824234616494 | IDL code |
|  8852.248455421164 |  OH |    1 |    32 |  0.8593848793807275 | IDL code |
|   8869.99034725738 |  OH |    1 |    32 |  1.5951015752468605 | IDL code |
|   8888.28901848091 |  OH |    1 |    32 |   4.375335188759598 | IDL code |
|  8905.559161893161 |  OH |    1 |    32 |   1.780047635710244 | IDL code |
|  8922.083670359616 |  OH |    1 |    32 |   4.744248784140096 | IDL code |
|   8945.85071212582 |  OH |    1 |    32 |  1.4943542859626922 | IDL code |
|  8960.543025685345 |  OH |    1 |    32 |   3.328236987915581 | IDL code |
|  8990.833724451248 |  OH |    1 |    32 |  0.8610941271206802 | IDL code |
|   9003.81689750559 |  OH |    1 |    32 |  1.7042778747331808 | IDL code |
|  9052.021657293657 |  OH |    1 |    32 |   0.636978696335889 | IDL code |
|  9309.886328266924 |  OH |    1 |    32 |  1.8647123631551383 | IDL code |
|   9311.72817572214 |  OH |    1 |    32 |  0.6528347665004427 | IDL code |
|  9315.820522971882 |  OH |    1 |    32 |  3.5746119646280285 | IDL code |
|  9326.246749662783 |  OH |    1 |    32 |  3.3053080012153244 | IDL code |
|   9340.41587943703 |  OH |    1 |    32 |  1.1771109664295014 | IDL code |
|  9378.530849590827 |  OH |    1 |    32 |   7.956584471154511 | IDL code |
|  9389.283338987318 |  OH |    1 |    32 |   3.001492623681079 | IDL code |
|  9404.661026248075 |  OH |    1 |    32 |  1.1370717032997142 | IDL code |
|  9422.313556612706 |  OH |    1 |    32 |   1.705798687152782 | IDL code |
|  9442.239985308668 |  OH |    1 |    32 |   5.706942848017264 | IDL code |
|  9461.123031277655 |  OH |    1 |    32 |  2.3121365495658943 | IDL code |
|   9479.45384781411 |  OH |    1 |    32 |   6.471088131571808 | IDL code |
|  9505.421501563684 |  OH |    1 |    32 |  2.0011478936937936 | IDL code |
|  9521.966010208593 |  OH |    1 |    32 |   4.552438290136518 | IDL code |
|  9555.154708150081 |  OH |    1 |    32 |  1.2057795135507954 | IDL code |
|  9569.963483919855 |  OH |    1 |    32 |   2.395691536036031 | IDL code |
|  9610.361734385473 |  OH |    1 |    32 |  0.5988083066522769 | IDL code |
|  9623.600305883412 |  OH |    1 |    32 |   0.912083667546364 | IDL code |
|  9671.354821791821 |  OH |    1 |    32 |  0.8316256258423367 | IDL code |
|   9684.89150313622 |  OH |    1 |    32 |  1.8512218506368936 | IDL code |
|  9693.162440079906 |  OH |    1 |    32 |   0.824930894475253 | IDL code |
|  9701.998213195591 |  OH |    1 |    32 |   3.857864685921911 | IDL code |
|  9714.369454079517 |  OH |    1 |    32 |   1.648417782081365 | IDL code |
|  9722.496553303255 |  OH |    1 |    32 |   5.055797678447455 | IDL code |
|   9740.76001601863 |  OH |    1 |    32 |  1.7881028518900148 | IDL code |
|   9793.80035255922 |  OH |    1 |    32 |  13.689172281591283 | IDL code |
|  9802.356946346774 |  OH |    1 |    32 |   4.615837170145903 | IDL code |
|  9814.674532164021 |  OH |    1 |    32 |  1.4941527782289479 | IDL code |
|  9851.185070664485 |  OH |    1 |    32 |  2.9443162877344546 | IDL code |
|  9874.844240076976 |  OH |    1 |    32 |    9.91633452511521 | IDL code |
|  9897.457341966667 |  OH |    1 |    32 |  3.6909074886024387 | IDL code |
|  9917.390632809424 |  OH |    1 |    32 |    9.93775865916722 | IDL code |
|  9944.531508265356 |  OH |    1 |    32 |  3.4258081216893523 | IDL code |
|  9948.942650917372 |  OH |    1 |    32 |   4.387465452094964 | IDL code |
|  9959.327809543265 |  OH |    1 |    32 |   5.863584276579923 | IDL code |
|  9964.660355501357 |  OH |    1 |    32 |   5.779962012348711 | IDL code |
|  9975.083147106257 |  OH |    1 |    32 |  1.5663668988852097 | IDL code |
| 10002.737614383424 |  OH |    1 |    32 |  1.4229937719180685 | IDL code |
| 10015.608820471107 |  OH |    1 |    32 |  10.111200833811763 | IDL code |
| 10028.200136248057 |  OH |    1 |    32 |   4.170126331017314 | IDL code |
| 10046.265706399257 |  OH |    1 |    32 |  1.6241773833074356 | IDL code |
| 10062.058370719124 |  OH |    1 |    32 | 0.48945242279462564 | IDL code |
| 10063.461597188281 |  OH |    1 |    32 |  2.0606059721517966 | IDL code |
| 10069.985921743622 |  OH |    1 |    32 |  0.5618916356404537 | IDL code |
| 10073.636238797304 |  OH |    1 |    32 |  0.7245948110389402 | IDL code |
| 10085.231648679006 |  OH |    1 |    32 |   7.277014946991792 | IDL code |
| 10106.374006301545 |  OH |    1 |    32 |   3.014067156069433 | IDL code |
|  10126.78224776824 |  OH |    1 |    32 |   7.962500502551925 | IDL code |
|   10151.7844422238 |  OH |    1 |    32 |  0.5635112214799431 | IDL code |
