|  ion |        wave | NIST | amplitude | Instr |          Source |
| ThII | 3786.675812 |    1 |     11987 |    32 | Louis_Pepe_2007 |
| ArII | 3787.458325 |    1 |     24284 |    32 | Louis_Pepe_2007 |
|  ThI | 3788.714137 |    1 |      3050 |    32 | Louis_Pepe_2007 |
|  ThI | 3789.009459 |    1 |      2584 |    32 | Louis_Pepe_2007 |
| ThII | 3789.435335 |    1 |      2707 |    32 | Louis_Pepe_2007 |
|  ThI |  3790.24372 |    1 |    126158 |    32 | Louis_Pepe_2007 |
|  ThI | 3791.343954 |    1 |      2491 |    32 | Louis_Pepe_2007 |
|  ThI | 3791.871484 |    1 |     68571 |    32 | Louis_Pepe_2007 |
|  ThI | 3792.296894 |    1 |      2497 |    32 | Louis_Pepe_2007 |
| ThII |   3792.3737 |    1 |      2076 |    32 | Louis_Pepe_2007 |
|  ThI | 3792.594893 |    1 |      4127 |    32 | Louis_Pepe_2007 |
|  ThI | 3793.807442 |    1 |     13282 |    32 | Louis_Pepe_2007 |
|  ThI | 3794.893018 |    1 |      4508 |    32 | Louis_Pepe_2007 |
| ThII | 3795.228217 |    1 |      2699 |    32 | Louis_Pepe_2007 |
|  ThI | 3795.775429 |    1 |     11036 |    32 | Louis_Pepe_2007 |
| ThII |  3796.46264 |    1 |     15398 |    32 | Louis_Pepe_2007 |
| ArII | 3797.670969 |    1 |     20252 |    32 | Louis_Pepe_2007 |
|  ThI | 3797.763931 |    1 |      5114 |    32 | Louis_Pepe_2007 |
|  ThI | 3797.809594 |    1 |      8478 |    32 | Louis_Pepe_2007 |
| ThII | 3798.532598 |    1 |      1233 |    32 | Louis_Pepe_2007 |
|  ThI | 3799.181895 |    1 |     25835 |    32 | Louis_Pepe_2007 |
|  ThI | 3801.277275 |    1 |     11858 |    32 | Louis_Pepe_2007 |
| ThII | 3801.451328 |    1 |      1954 |    32 | Louis_Pepe_2007 |
| ThII | 3801.667777 |    1 |      1132 |    32 | Louis_Pepe_2007 |
|  ThI | 3802.522227 |    1 |     25856 |    32 | Louis_Pepe_2007 |
|  ThI | 3802.650891 |    1 |     17570 |    32 | Louis_Pepe_2007 |
| ThII | 3802.996752 |    1 |       566 |    32 | Louis_Pepe_2007 |
|  ThI | 3803.499251 |    1 |      5237 |    32 | Louis_Pepe_2007 |
|  ThI | 3803.943876 |    1 |      9032 |    32 | Louis_Pepe_2007 |
|  ThI | 3804.154968 |    1 |    513576 |    32 | Louis_Pepe_2007 |
| ArII | 3804.252224 |    1 |    107479 |    32 | Louis_Pepe_2007 |
|  ThI | 3804.919155 |    1 |      7393 |    32 | Louis_Pepe_2007 |
|  ThI | 3805.064523 |    1 |     24074 |    32 | Louis_Pepe_2007 |
|  ThI | 3805.207813 |    1 |      6972 |    32 | Louis_Pepe_2007 |
|  ThI | 3805.778642 |    1 |      3816 |    32 | Louis_Pepe_2007 |
|  ThI | 3806.309258 |    1 |      1305 |    32 | Louis_Pepe_2007 |
| ThII | 3806.900514 |    1 |      4706 |    32 | Louis_Pepe_2007 |
|  ThI | 3806.946345 |    1 |      2289 |    32 | Louis_Pepe_2007 |
| ThII | 3807.051285 |    1 |      1587 |    32 | Louis_Pepe_2007 |
|  ThI |  3807.23391 |    1 |      1842 |    32 | Louis_Pepe_2007 |
|  ThI |  3808.35348 |    1 |      6533 |    32 | Louis_Pepe_2007 |
| ThII | 3808.955123 |    1 |     12694 |    32 | Louis_Pepe_2007 |
| ThII | 3809.209907 |    1 |      1975 |    32 | Louis_Pepe_2007 |
| ArII | 3809.656594 |    1 |     14894 |    32 | Louis_Pepe_2007 |
|  ThI | 3809.697151 |    1 |      7212 |    32 | Louis_Pepe_2007 |
| ArII | 3810.537544 |    1 |    101598 |    32 | Louis_Pepe_2007 |
| ThII | 3810.916794 |    1 |      2488 |    32 | Louis_Pepe_2007 |
|  ThI | 3812.077207 |    1 |     28936 |    32 | Louis_Pepe_2007 |
|  ThI | 3813.479982 |    1 |      6425 |    32 | Louis_Pepe_2007 |
| ThII | 3814.150199 |    1 |     15807 |    32 | Louis_Pepe_2007 |
| ThII | 3814.748947 |    1 |      1621 |    32 | Louis_Pepe_2007 |
|  ThI | 3814.897493 |    1 |     16778 |    32 | Louis_Pepe_2007 |
| ThII | 3816.109523 |    1 |      1468 |    32 | Louis_Pepe_2007 |
|  ThI | 3816.648334 |    1 |     16088 |    32 | Louis_Pepe_2007 |
|  ThI |  3819.76899 |    1 |     58810 |    32 | Louis_Pepe_2007 |
| ArII | 3820.099139 |    1 |     10081 |    32 | Louis_Pepe_2007 |
|  ThI | 3820.196505 |    1 |      2972 |    32 | Louis_Pepe_2007 |
|  ThI |   3821.8767 |    1 |     39053 |    32 | Louis_Pepe_2007 |
| ThII | 3822.515316 |    1 |      7361 |    32 | Louis_Pepe_2007 |
|  ThI | 3823.794173 |    1 |      2979 |    32 | Louis_Pepe_2007 |
|  ThI | 3824.152211 |    1 |     25397 |    32 | Louis_Pepe_2007 |
| ThII | 3824.408112 |    1 |      1568 |    32 | Louis_Pepe_2007 |
|  ThI | 3824.542579 |    1 |      8085 |    32 | Louis_Pepe_2007 |
