# Creation Date: 2023-10-30
# taken from linelist in https://www2.keck.hawaii.edu/inst/hires/observing.html
# and plots in https://www2.keck.hawaii.edu/inst/hires/ThAr_atlas.html
# converted to vacuum, and matched to NIST,
# see dev_algorithms/wavelengths/hires_ThAr_linelist/create_hires_ThAr_list.py in PypeIt-development-suite
# for wavelength ranges not covered in the Keck webpage, we use NIST+MURPHY from ThAr_lines.dat
|    ion |       wave | NIST | Instr | amplitude |      Source |
|  Th II |  3007.8077 |    1 |     0 |      1100 |   Keck+NIST |
|  Th II |  3013.5854 |    1 |     0 |       440 |   Keck+NIST |
|  Th II |  3018.0110 |    1 |     0 |       310 |   Keck+NIST |
|  Th II |  3019.3691 |    1 |     0 |       810 |   Keck+NIST |
|  Th II |  3020.3012 |    1 |     0 |       500 |   Keck+NIST |
|   Th I |  3031.3699 |    1 |     0 |       980 |   Keck+NIST |
|  Ar II |  3034.3912 |    1 |     0 |        78 |   Keck+NIST |
|  Th II |  3039.4829 |    1 |     0 |       490 |   Keck+NIST |
|  Th II |  3047.8375 |    1 |     0 |      1200 |   Keck+NIST |
|   Th I |  3048.7027 |    1 |     0 |       610 |   Keck+NIST |
|  Th II |  3049.9792 |    1 |     0 |      2000 |   Keck+NIST |
|   Th I |  3061.3286 |    1 |     0 |      3000 |   Keck+NIST |
|  Th II |  3068.6208 |    1 |     0 |      2800 |   Keck+NIST |
|   Th I |  3069.7992 |    1 |     0 |      1200 |   Keck+NIST |
|  Th II |  3073.0075 |    1 |     0 |      2100 |   Keck+NIST |
|  Th II |  3073.7179 |    1 |     0 |       740 |   Keck+NIST |
|  Th II |  3075.9498 |    1 |     0 |      1500 |   Keck+NIST |
|  Th II |  3079.7222 |    1 |     0 |      3100 |   Keck+NIST |
|  Th II |  3081.1116 |    1 |     0 |      3100 |   Keck+NIST |
|  Th II |  3090.9908 |    1 |     0 |       720 |   Keck+NIST |
|  Ar II |  3094.2998 |    1 |     0 |        68 |   Keck+NIST |
|  Th II |  3098.1660 |    1 |     0 |       500 |   Keck+NIST |
|  Th II |  3101.8380 |    1 |     0 |      1400 |   Keck+NIST |
|  Th II |  3103.5641 |    1 |     0 |      1200 |   Keck+NIST |
|  Th II |  3106.6484 |    1 |     0 |      1600 |   Keck+NIST |
|  Th II |  3107.9274 |    1 |     0 |      1000 |   Keck+NIST |
|  Th II |  3109.1984 |    1 |     0 |      3900 |   Keck+NIST |
|  Th II |  3110.9229 |    1 |     0 |      1400 |   Keck+NIST |
|   Th I |  3117.1666 |    1 |     0 |      2000 |   Keck+NIST |
|  Th II |  3118.5880 |    1 |     0 |       830 |   Keck+NIST |
|  Th II |  3120.4306 |    1 |     0 |      3600 |   Keck+NIST |
|   Th I |  3121.7856 |    1 |     0 |       700 |   Keck+NIST |
|  Th II |  3123.8687 |    1 |     0 |      1800 |   Keck+NIST |
|  Th II |  3125.2930 |    1 |     0 |      1800 |   Keck+NIST |
|  Th II |  3135.3339 |    1 |     0 |      1100 |   Keck+NIST |
|   Th I |  3137.1247 |    1 |     0 |      2500 |   Keck+NIST |
|   Th I |  3137.7380 |    1 |     0 |      1600 |   Keck+NIST |
|   Th I |  3141.1817 |    1 |     0 |      1900 |   Keck+NIST |
|  Th II |  3142.7573 |    1 |     0 |       660 |   Keck+NIST |
|  Th II |  3143.7459 |    1 |     0 |      1400 |   Keck+NIST |
|   Th I |  3146.5480 |    1 |     0 |      2100 |   Keck+NIST |
|  Th II |  3146.9545 |    1 |     0 |      1300 |   Keck+NIST |
|   Th I |  3148.3600 |    1 |     0 |       220 |   Keck+NIST |
|  Th II |  3151.3673 |    1 |     0 |       940 |   Keck+NIST |
|  Th II |  3152.5592 |    1 |     0 |       350 |   Keck+NIST |
|  Th II |  3155.2141 |    1 |     0 |      2300 |   Keck+NIST |
|  Th II |  3156.7438 |    1 |     0 |       580 |   Keck+NIST |
|  Th II |  3157.3143 |    1 |     0 |       530 |   Keck+NIST |
