|               wave |  ion | NIST | Instr |          amplitude |       Source |
|  3094.261313368305 | ThAr |    1 |    32 | 218.70677052723238 | wavemodel.py |
| 3140.0171522371547 | ThAr |    1 |    32 | 148.12281124090538 | wavemodel.py |
| 3170.5540268969266 | ThAr |    1 |    32 |  158.8138285062605 | wavemodel.py |
| 3181.1243070684113 | ThAr |    1 |    32 | 227.88057703827917 | wavemodel.py |
|  3189.181869102448 | ThAr |    1 |    32 | 222.56046465150408 | wavemodel.py |
|  3233.222527087156 | ThAr |    1 |    32 | 199.46752294459446 | wavemodel.py |
| 3239.0583334075486 | ThAr |    1 |    32 | 145.47867955933862 | wavemodel.py |
|  3244.661251438086 | ThAr |    1 |    32 |  208.4018341765855 | wavemodel.py |
| 3245.1958097699485 | ThAr |    1 |    32 | 253.38302082586046 | wavemodel.py |
|  3248.502474092507 | ThAr |    1 |    32 | 211.47384768331062 | wavemodel.py |
|  3254.789413488119 | ThAr |    1 |    32 |  156.8865263874356 | wavemodel.py |
|  3258.322509608634 | ThAr |    1 |    32 | 247.06830227423723 | wavemodel.py |
|  3272.940756231969 | ThAr |    1 |    32 |  173.6070080993639 | wavemodel.py |
|  3286.721652977489 | ThAr |    1 |    32 | 155.81820405847117 | wavemodel.py |
| 3294.6240014315363 | ThAr |    1 |    32 | 247.01752718418845 | wavemodel.py |
| 3302.6007478184683 | ThAr |    1 |    32 |  212.4853120340546 | wavemodel.py |
| 3305.1896287757017 | ThAr |    1 |    32 | 1210.0540317145685 | wavemodel.py |
|  3310.339653848775 | ThAr |    1 |    32 |  230.7721140643052 | wavemodel.py |
|  3325.968127997851 | ThAr |    1 |    32 | 300.02148137434887 | wavemodel.py |
|  3331.424676107606 | ThAr |    1 |    32 |  846.5201797121575 | wavemodel.py |
| 3334.0863162507676 | ThAr |    1 |    32 |  368.1616106564979 | wavemodel.py |
|  3349.740082528169 | ThAr |    1 |    32 |  592.5130267138088 | wavemodel.py |
|  3351.992780074987 | ThAr |    1 |    32 | 461.07288587686423 | wavemodel.py |
|  3362.121599633455 | ThAr |    1 |    32 | 192.69357276059304 | wavemodel.py |
|    3375.9437329838 | ThAr |    1 |    32 |  224.0551804037433 | wavemodel.py |
| 3377.4144280310306 | ThAr |    1 |    32 |  518.9830650884751 | wavemodel.py |
|  3381.827842496836 | ThAr |    1 |    32 | 230.05351928075277 | wavemodel.py |
| 3389.4994983242095 | ThAr |    1 |    32 | 217.97446836819586 | wavemodel.py |
| 3392.9866193175294 | ThAr |    1 |    32 | 270.66058085276285 | wavemodel.py |
| 3398.5528545443467 | ThAr |    1 |    32 |  523.0558180304466 | wavemodel.py |
|  3399.488915379026 | ThAr |    1 |    32 |  573.7952578749159 | wavemodel.py |
| 3403.6701509692552 | ThAr |    1 |    32 |  332.3446252908317 | wavemodel.py |
| 3406.5805037060877 | ThAr |    1 |    32 | 240.02582090518374 | wavemodel.py |
| 3409.7406193596594 | ThAr |    1 |    32 | 287.02798094591515 | wavemodel.py |
| 3413.9942271376517 | ThAr |    1 |    32 |  293.5054737581132 | wavemodel.py |
| 3422.1973119567224 | ThAr |    1 |    32 |   700.248683634871 | wavemodel.py |
|  3424.944925030765 | ThAr |    1 |    32 |  846.2192680095956 | wavemodel.py |
| 3429.8727602662543 | ThAr |    1 |    32 | 450.61976259303475 | wavemodel.py |
