# Creation Date: 2018-Jan-09
|    ion |       wave | NIST | Instr | amplitude |      Source |
|  Th II |  3000.1470 |    1 |     0 |       200 |        NIST |
|  Th II |  3000.6753 |    1 |     0 |       560 |        NIST |
|  Ar II |  3000.9840 |    1 |     0 |         3 | NIST+MURPHY |
| UNKNWN |  3001.2031 |    0 |     0 |         1 |      MURPHY |
|   Th I |  3001.2278 |    1 |     0 |       170 |        NIST |
|  Ar II |  3001.3198 |    1 |     0 |        17 | NIST+MURPHY |
|  Th II |  3001.5018 |    1 |     0 |        17 |        NIST |
|  Th II |  3001.6888 |    1 |     0 |        17 |        NIST |
|  Th II |  3001.7198 |    1 |     0 |        85 |        NIST |
|  Th II |  3001.7946 |    1 |     0 |       200 | NIST+MURPHY |
|  Th II |  3001.8439 |    1 |     0 |        56 |        NIST |
| UNKNWN |  3001.8479 |    0 |     0 |         1 |      MURPHY |
|  Th II |  3002.1396 |    1 |     0 |      1200 | NIST+MURPHY |
|   Th I |  3002.2115 |    1 |     0 |       280 | NIST+MURPHY |
|  Th II |  3003.1342 |    1 |     0 |        11 |        NIST |
|  Th II |  3003.2178 |    1 |     0 |       170 | NIST+MURPHY |
|   Th I |  3003.2621 |    1 |     0 |       280 | NIST+MURPHY |
|  Th II |  3003.2759 |    1 |     0 |      1600 | NIST+MURPHY |
|   Ni I |  3003.3612 |    0 |     0 |         1 |      MURPHY |
|   Th I |  3003.5616 |    1 |     0 |       230 | NIST+MURPHY |
|  Ar II |  3003.8390 |    1 |     0 |         4 | NIST+MURPHY |
|  Th II |  3003.9114 |    1 |     0 |        45 |        NIST |
|  Th II |  3003.9158 |    1 |     0 |       150 |        NIST |
|   Th I |  3004.4803 |    1 |     0 |       120 | NIST+MURPHY |
|  Th II |  3004.7266 |    1 |     0 |        45 |        NIST |
| UNKNWN |  3004.7891 |    0 |     0 |         1 |      MURPHY |
|   Th I |  3005.0387 |    1 |     0 |         5 |        NIST |
| UNKNWN |  3005.1233 |    0 |     0 |         1 |      MURPHY |
|  Th II |  3005.2737 |    1 |     0 |        11 |        NIST |
|  Ar II |  3005.3620 |    1 |     0 |         2 |        NIST |
|  Th II |  3005.4378 |    1 |     0 |        11 |        NIST |
|  Th II |  3005.5129 |    1 |     0 |        71 | NIST+MURPHY |
|  Th II |  3006.4028 |    1 |     0 |        91 | NIST+MURPHY |
|  Th II |  3006.8851 |    1 |     0 |       220 | NIST+MURPHY |
|   Th I |  3007.0406 |    1 |     0 |       450 | NIST+MURPHY |
|   Th I |  3007.5099 |    1 |     0 |       170 |        NIST |
|   Th I |  3007.5963 |    1 |     0 |         5 |        NIST |
|  Th II |  3007.8077 |    1 |     0 |      1100 | NIST+MURPHY |
| UNKNWN |  3007.8757 |    0 |     0 |         1 |      MURPHY |
| UNKNWN |  3008.0868 |    0 |     0 |         1 |      MURPHY |
|   Th I |  3008.3525 |    1 |     0 |       170 |        NIST |
|  Th II |  3008.5010 |    1 |     0 |       540 | NIST+MURPHY |
|  Th II |  3008.5205 |    1 |     0 |       220 | NIST+MURPHY |
|  Th II |  3008.6755 |    1 |     0 |       460 | NIST+MURPHY |
| UNKNWN |  3008.7088 |    0 |     0 |         1 |      MURPHY |
|  Th II |  3008.8265 |    1 |     0 |       370 | NIST+MURPHY |
|  Th II |  3009.1027 |    1 |     0 |        17 |        NIST |
|  Th II |  3009.1534 |    1 |     0 |       330 | NIST+MURPHY |
|  Th II |  3009.3736 |    1 |     0 |      1200 | NIST+MURPHY |
|   Th I |  3009.8000 |    1 |     0 |       140 |        NIST |
| UNKNWN |  3010.4335 |    0 |     0 |         1 |      MURPHY |
|  Th II |  3010.6096 |    1 |     0 |        72 | NIST+MURPHY |
|  Th II |  3010.6457 |    1 |     0 |       590 | NIST+MURPHY |
|  Th II |  3010.7346 |    1 |     0 |       190 | NIST+MURPHY |
|  Th II |  3010.8793 |    1 |     0 |       280 | NIST+MURPHY |
|  Th II |  3011.1222 |    1 |     0 |        11 |        NIST |
| UNKNWN |  3011.3759 |    0 |     0 |         1 |      MURPHY |
|   Th I |  3011.6128 |    1 |     0 |       160 | NIST+MURPHY |
