| ion |      wave | NIST | Instr | amplitude |        Source |
| XeI | 5029.6824 |    1 |     0 |       200 | SALT_linelist |
| XeI | 5046.3468 |    1 |     0 |        70 | SALT_linelist |
| XeI | 5261.9042 |    1 |     0 |        90 | SALT_linelist |
| XeI | 5263.4446 |    1 |     0 |        90 | SALT_linelist |
| XeI | 5293.6827 |    1 |     0 |       110 | SALT_linelist |
| XeI | 5340.8152 |    1 |     0 |        80 | SALT_linelist |
| XeI | 5373.8840 |    1 |     0 |        70 | SALT_linelist |
| XeI | 5394.2995 |    1 |     0 |       100 | SALT_linelist |
| XeI | 5420.6465 |    1 |     0 |       120 | SALT_linelist |
| XeI | 5440.4818 |    1 |     0 |        50 | SALT_linelist |
| XeI | 5534.3169 |    1 |     0 |       120 | SALT_linelist |
| XeI | 5553.9291 |    1 |     0 |        40 | SALT_linelist |
| XeI | 5717.6859 |    1 |     0 |        50 | SALT_linelist |
| XeI | 5752.5952 |    1 |     0 |        40 | SALT_linelist |
| XeI | 5825.5047 |    1 |     0 |       300 | SALT_linelist |
| XeI | 5826.4150 |    1 |     0 |       150 | SALT_linelist |
| XeI | 5876.6484 |    1 |     0 |       100 | SALT_linelist |
| XeI | 5896.6238 |    1 |     0 |       100 | SALT_linelist |
| XeI | 6113.6419 |    1 |     0 |        40 | SALT_linelist |
| XeI | 6165.3658 |    1 |     0 |        70 | SALT_linelist |
| XeI | 6180.0097 |    1 |     0 |       150 | SALT_linelist |
| XeI | 6181.3701 |    1 |     0 |       120 | SALT_linelist |
| XeI | 6184.1308 |    1 |     0 |       300 | SALT_linelist |
| XeI | 6199.9751 |    1 |     0 |       100 | SALT_linelist |
| XeI | 6262.9420 |    1 |     0 |        30 | SALT_linelist |
| XeI | 6287.7486 |    1 |     0 |       100 | SALT_linelist |
| XeI | 6294.3904 |    1 |     0 |        30 | SALT_linelist |
| XeI | 6319.8072 |    1 |     0 |       500 | SALT_linelist |
