# Creation Date: 2020-Jan-28
| ion |      wave | NIST | Instr | amplitude |        Source |
| XeI | 3952.0432 |    1 |     0 |       120 | SALT_linelist |
| XeI | 3968.6636 |    1 |     0 |       200 | SALT_linelist |
| XeI | 4079.9724 |    1 |     0 |       100 | SALT_linelist |
| XeI | 4110.8690 |    1 |     0 |        60 | SALT_linelist |
| XeI | 4117.2765 |    1 |     0 |        80 | SALT_linelist |
| XeI | 4194.7113 |    1 |     0 |       150 | SALT_linelist |
| XeI | 4385.1410 |    1 |     0 |       100 | SALT_linelist |
| XeI | 4387.0016 |    1 |     0 |        70 | SALT_linelist |
| XeI | 4502.2399 |    1 |     0 |       500 | SALT_linelist |
| XeI | 4525.9494 |    1 |     0 |       400 | SALT_linelist |
| XeI | 4584.0317 |    1 |     0 |       300 | SALT_linelist |
| XeI | 4604.3296 |    1 |     0 |       150 | SALT_linelist |
| XeI | 4613.1816 |    1 |     0 |       100 | SALT_linelist |
| XeI | 4625.5709 |    1 |     0 |      1000 | SALT_linelist |
| XeI | 4672.5337 |    1 |     0 |      2000 | SALT_linelist |
| XeI | 4692.2840 |    1 |     0 |       100 | SALT_linelist |
| XeI | 4698.3345 |    1 |     0 |       300 | SALT_linelist |
| XeI | 4735.4767 |    1 |     0 |       600 | SALT_linelist |
| XeI | 4793.9590 |    1 |     0 |       150 | SALT_linelist |
| XeI | 4808.3626 |    1 |     0 |       500 | SALT_linelist |
| XeI | 4831.0587 |    1 |     0 |       400 | SALT_linelist |
| XeI | 4844.6473 |    1 |     0 |       300 | SALT_linelist |
| XeI | 4917.8827 |    1 |     0 |       500 | SALT_linelist |
| XeI | 4924.5265 |    1 |     0 |       500 | SALT_linelist |
| XeI | 4974.0876 |    1 |     0 |        90 | SALT_linelist |
| XeI | 5029.6824 |    1 |     0 |       200 | SALT_linelist |
| XeI | 5046.3468 |    1 |     0 |        70 | SALT_linelist |
| XeI | 5261.9042 |    1 |     0 |        90 | SALT_linelist |
| XeI | 5263.4446 |    1 |     0 |        90 | SALT_linelist |
| XeI | 5293.6827 |    1 |     0 |       110 | SALT_linelist |
| XeI | 5340.8152 |    1 |     0 |        80 | SALT_linelist |
| XeI | 5373.8840 |    1 |     0 |        70 | SALT_linelist |
| XeI | 5394.2995 |    1 |     0 |       100 | SALT_linelist |
| XeI | 5420.6465 |    1 |     0 |       120 | SALT_linelist |
| XeI | 5534.3169 |    1 |     0 |       120 | SALT_linelist |
| XeI | 5825.5047 |    1 |     0 |       300 | SALT_linelist |
| XeI | 5826.4150 |    1 |     0 |       150 | SALT_linelist |
| XeI | 5876.6484 |    1 |     0 |       100 | SALT_linelist |
| XeI | 5896.6238 |    1 |     0 |       100 | SALT_linelist |
| XeI | 6165.3658 |    1 |     0 |        70 | SALT_linelist |
| XeI | 6180.0097 |    1 |     0 |       150 | SALT_linelist |
| XeI | 6181.3701 |    1 |     0 |       120 | SALT_linelist |
| XeI | 6184.1308 |    1 |     0 |       300 | SALT_linelist |
| XeI | 6199.9751 |    1 |     0 |       100 | SALT_linelist |
| XeI | 6287.7486 |    1 |     0 |       100 | SALT_linelist |
| XeI | 6319.8072 |    1 |     0 |       500 | SALT_linelist |
| XeI | 6471.4880 |    1 |     0 |       300 | SALT_linelist |
| XeI | 6474.6288 |    1 |     0 |       150 | SALT_linelist |
| XeI | 6489.5528 |    1 |     0 |       120 | SALT_linelist |
| XeI | 6534.9650 |    1 |     0 |       100 | SALT_linelist |
| XeI | 6597.3818 |    1 |     0 |       100 | SALT_linelist |
| XeI | 6634.3017 |    1 |     0 |        60 | SALT_linelist |
| XeI | 6670.7615 |    1 |     0 |       150 | SALT_linelist |
| XeI | 6729.8674 |    1 |     0 |       200 | SALT_linelist |
| XeI | 6829.2041 |    1 |     0 |       200 | SALT_linelist |
| XeI | 6848.4993 |    1 |     0 |       100 | SALT_linelist |
| XeI | 6868.7348 |    1 |     0 |        65 | SALT_linelist |
| XeI | 6874.0062 |    1 |     0 |       100 | SALT_linelist |
| XeI | 6884.0589 |    1 |     0 |       300 | SALT_linelist |
| XeI | 6927.4406 |    1 |     0 |       100 | SALT_linelist |
| XeI | 6978.1042 |    1 |     0 |       100 | SALT_linelist |
| XeI | 7121.5629 |    1 |     0 |       500 | SALT_linelist |
| XeI | 7286.3072 |    1 |     0 |       120 | SALT_linelist |
| XeI | 7318.2859 |    1 |     0 |        70 | SALT_linelist |
| XeI | 7323.4673 |    1 |     0 |        70 | SALT_linelist |
| XeI | 7388.0347 |    1 |     0 |       100 | SALT_linelist |
| XeI | 7395.8268 |    1 |     0 |       150 | SALT_linelist |
| XeI | 7586.7683 |    1 |     0 |       200 | SALT_linelist |
| XeI | 7644.1237 |    1 |     0 |       500 | SALT_linelist |
| XeI | 7646.0142 |    1 |     0 |       100 | SALT_linelist |
| XeI | 7804.7971 |    1 |     0 |       100 | SALT_linelist |
| XeI | 7883.4883 |    1 |     0 |       100 | SALT_linelist |
