| wave      | ion | NIST | Instr | amplitude |  Source |
| 14146.252 | XeI |    1 |    52 |      51.5 | unknown |
| 14244.791 | XeI |    1 |    26 |      26.1 | unknown |
| 14368.848 | XeI |    1 |     9 |       8.9 | unknown |
| 14736.765 | XeI |    1 |   560 |     559.8 | unknown |
| 15422.602 | XeI |    1 |   429 |     429.1 | unknown |
| 15983.888 | XeI |    1 |    15 |      14.7 | unknown |
| 16044.231 | XeI |    1 |     9 |       9.4 | unknown |
| 16057.653 | XeI |    1 |   136 |     136.1 | unknown |
| 16732.649 | XeI |    1 |   357 |     357.1 | unknown |
| 17330.512 | XeI |    1 |   201 |     200.6 | unknown |
| 18793.248 | XeI |    1 |    71 |      71.3 | unknown |
| 20192.597 | XeI |    1 |    15 |      14.5 | unknown |
| 20267.819 | XeI |    1 |   577 |     576.9 | unknown |
| 21475.864 | XeI |    1 |    30 |      30.5 | unknown |
| 23199.595 | XeI |    1 |    55 |      54.5 | unknown |
