| ion |      wave | NIST | Instr | amplitude |       Source |
| Xe |  9047.930 |    1 |   222 |     222.1 | unknown |
| Xe |  9165.167 |    1 |   926 |     925.6 | unknown |
| Xe |  9377.330 |    1 |    36 |      35.9 | unknown |
| Xe |  9515.987 |    1 |    90 |      90.0 | unknown |
| Xe |  9687.980 |    1 |    20 |      19.9 | unknown |
| Xe |  9720.830 |    1 |    21 |      20.6 | unknown |
| Xe |  9802.384 |    1 |  2350 |    2349.9 | unknown |
| Xe |  9925.919 |    1 |  1714 |    1713.6 | unknown |
| Xe | 10110.110 |    1 |    14 |      14.1 | unknown |
| Xe | 10530.761 |    1 |    19 |      19.0 | unknown |
| Xe | 10841.300 |    1 |   125 |     125.0 | unknown |
| Xe | 11088.306 |    1 |    11 |      11.3 | unknown |
| Xe | 11745.526 |    1 |     9 |       9.5 | unknown |
| Xe | 12626.805 |    1 |    13 |      12.6 | unknown |
