# Taken from https://www.aanda.org/articles/aa/pdf/2011/03/aa15537-10.pdf
# Patat F., Moehler S., O'Brien K., Pompei E., Bensby T., Carraro G., de Ugarte Postigo A., et al., 2011, A&A, 527, A91
# Extinction values below 3300A are taken from http://www.eso.org/sci/facilities/eelt/science/drm/tech_data/data/atm_scat/paranal.dat
# Extinction values above 10000A are assumed to quickly approach zero.
#  lambda [um]   extinction due to scattering [mag/airmass]
   3100          1.53
   3200          0.94
   3325          0.686 
   3375          0.606 
   3425          0.581 
   3475          0.552 
   3525          0.526 
   3575          0.504 
   3625          0.478 
   3675          0.456 
   3725          0.430 
   3775          0.409 
   3825          0.386 
   3875          0.378 
   3925          0.363 
   3975          0.345 
   4025          0.330 
   4075          0.316 
   4125          0.298 
   4175          0.285 
   4225          0.274 
   4275          0.265 
   4325          0.253 
   4375          0.241 
   4425          0.229 
   4475          0.221 
   4525          0.212 
   4575          0.204 
   4625          0.198 
   4675          0.190 
   4725          0.185 
   4775          0.182 
   4825          0.176 
   4875          0.169 
   4925          0.162 
   4975          0.157 
   5025          0.156 
   5075          0.153 
   5125          0.146 
   5175          0.143 
   5225          0.141 
   5275          0.139 
   5325          0.139 
   5375          0.134 
   5425          0.133 
   5475          0.131 
   5525          0.129 
   5575          0.127 
   5625          0.128 
   5675          0.130 
   5725          0.134 
   5775          0.132 
   5825          0.124 
   5875          0.122 
   5925          0.125 
   5975          0.122 
   6025          0.117 
   6075          0.115 
   6125          0.108 
   6175          0.104 
   6225          0.102 
   6275          0.099 
   6325          0.095 
   6375          0.092 
   6425          0.085 
   6475          0.086 
   6525          0.083 
   6575          0.081 
   6625          0.076 
   6675          0.072 
   6725          0.068 
   6775          0.064 
   7060          0.064 
   7450          0.048 
   7940          0.042 
   8500          0.032  
   8675          0.030  
   8850          0.029  
  10000          0.022
  15000          0.001
  25000          0.0001
