# This directory contains data files for the blackbody stars
# presented in Suzuki & Fukugita, 2018, AJ, 156, 219:
# https://ui.adsabs.harvard.edu/abs/2018AJ....156..219S/abstract
# with updates from Cooke, Suzuki, Prochaska 2025:
# <insert abs link here>
# The flux distribution over the range 3000 – 25000A can be
# generated using the "a" and "T" parameters in Table below,
# combined with Equation 1 from the above paper.
# NOTE: The flux is generated at runtime, so there are no
# "Files". The first column is just a placeholder.
File                  Name             RA_2000       DEC_2000       g_MAG  TYPE  T_K   a_x10m23
BB001604+132500.fits  BB001604+132500  00:16:04.221  +13:25:00.645  17.07  DC   9238   3.8436
J0027m0017.fits       J0027m0017       00:27:39.497  -00:17:41.930  18.90  DC  10662   0.435
J0048p0017.fits       J0048p0017       00:48:30.324  +00:17:52.800  18.14  DC  10639   0.876
BB010339-244456.fits  BB010339-244456  01:03:39.358  -24:44:56.887  16.81  DC  11242   2.8587
BB012524-260044.fits  BB012524-260044  01:25:24.466  -26:00:44.451  15.07  DC   7796  41.4872
BB013458-153608.fits  BB013458-153608  01:34:58.513  -15:36:08.488  17.09  DC  11344   2.1469
J0146m0051.fits       J0146m0051       01:46:18.898  -00:51:50.510  18.17  DC  11770   0.672
BB015038-720716.fits  BB015038-720716  01:50:38.471  -72:07:16.543  16.35  DC   7363  15.5232
BB015939+154847.fits  BB015939+154847  01:59:39.366  +15:48:47.628  15.87  DC  10299   8.5470
BB020346-070136.fits  BB020346-070136  02:03:46.752  -07:01:36.890  17.46  DC   8682   3.2627
BB021243-391552.fits  BB021243-391552  02:12:43.930  -39:15:52.807  16.65  DC   9644   5.0797
J0229m0041.fits       J0229m0041       02:29:36.715  -00:41:13.630  19.07  DC   8901   0.640
BB030145-204440.fits  BB030145-204440  03:01:45.684  -20:44:40.133  17.61  DC   8165   3.4332
BB035906-111835.fits  BB035906-111835  03:59:06.029  -11:18:35.126  17.54  DC   7595   4.6368
BB042731-070802.fits  BB042731-070802  04:27:31.728  -07:08:02.800  16.85  DC   7518   9.0987
BB060432-365105.fits  BB060432-365105  06:04:32.032  -36:51:05.882  17.38  DC   8035   4.4641
J0832p3709.fits       J0832p3709       08:32:26.568  +37:09:55.480  18.98  DC   7952   1.137
J0837p5427.fits       J0837p5427       08:37:36.557  +54:27:58.640  18.73  DC   7533   1.703
BB100149+144123.fits  BB100149+144123  10:01:49.363  +14:41:23.785  15.42  DC   7319  37.2451
J1004p1215.fits       J1004p1215       10:04:49.541  +12:15:59.650  19.18  DC   9773   0.440
J1045p0157.fits       J1045p0157       10:45:23.866  +01:57:21.960  19.09  DC   8956   0.666
BB105735-073123.fits  BB105735-073123  10:57:35.134  -07:31:23.176  14.35  DC   8036  72.6652
J1117p4059.fits       J1117p4059       11:17:20.801  +40:59:54.670  18.08  DC  10992   0.844
BB113337-110529.fits  BB113337-110529  11:33:37.084  -11:05:29.680  16.67  DC  10937   3.4941
J1147p1713.fits       J1147p1713       11:47:22.608  +17:13:25.210  18.65  DC   9962   0.669
BB115020-255335.fits  BB115020-255335  11:50:20.142  -25:53:35.404  16.40  DC   7425  14.2644
BB122313-185211.fits  BB122313-185211  12:23:13.565  -18:52:11.281  16.57  DC   9948   4.9668
BB124155-133501.fits  BB124155-133501  12:41:55.920  -13:35:01.266  15.84  DC   9309  11.7714
BB124535+423824.fits  BB124535+423824  12:45:35.622  +42:38:24.675  17.20  DC  10133   2.6263
BB124828-102857.fits  BB124828-102857  12:48:28.174  -10:28:57.820  16.93  DC   8026   6.8294
# J1255p1924.fits       J1255p1924       12:55:07.082  +19:24:59.000  18.53  DC   8882   1.157   Based on observations by Cooke, Suzuki & Prochaska, this star exhibits Ca II absorption, and is no longer a featureless blackbody star.
BB133321-150026.fits  BB133321-150026  13:33:21.517  -15:00:26.787  16.95  DC   7557   8.1115
J1343p2706.fits       J1343p2706       13:43:05.302  +27:06:23.980  18.93  DC  10678   0.427
J1417p4941.fits       J1417p4941       14:17:24.329  +49:41:27.850  17.25  DC  10461   2.192
BB142708+453631.fits  BB142708+453631  14:27:08.162  +45:36:31.689  16.80  DC   8176   7.1943
J1518p0028.fits       J1518p0028       15:18:59.717  +00:28:39.580  19.44  DC   9072   0.458
BB152316-341207.fits  BB152316-341207  15:23:16.521  -34:12:07.397  15.48  DC   9850  13.8345
BB155200+195753.fits  BB155200+195753  15:52:00.935  +19:57:53.148  16.30  DC  11389   4.4428
J1617p1813.fits       J1617p1813       16:17:04.078  +18:13:11.960  18.78  DC   8568   0.996
BB173930-023700.fits  BB173930-023700  17:39:30.742  -02:37:00.572  17.54  DC   8444   3.2763
BB200707-673442.fits  BB200707-673442  20:07:07.980  -67:34:42.178  16.57  DC   8231   8.6654
BB202025-302714.fits  BB202025-302714  20:20:25.458  -30:27:14.650  13.71  DC  11242  49.6481
BB205216-220633.fits  BB205216-220633  20:52:16.841  -22:06:33.421  15.05  DC   8784  28.9719
BB213721-380838.fits  BB213721-380838  21:37:21.243  -38:08:38.216  16.65  DC   7399  11.4864
J2302m0030.fits       J2302m0030       23:02:40.032  -00:30:21.600  17.80  DC  10478   1.241
