# Effective temperatures, bolometric corrections, and luminosities as a 
# function of spectral type/color for Luminosity class V (main sequence)
# Taken from schmidt-kaler (1982) book on stars and star clusters (pg 453). 
# For the B-stars the color column is (U-B)_0
# Sp	log T_eff     T_eff[K]    (B-V)_0   M_V     B.C.     M_bol    L/L_sol  
B0      4.486        30000	  -1.08    -4.0    -3.16    -7.1      5.2e4
B1      4.405        25400	  -0.95    -3.2    -2.70    -5.9      1.6e4
B2      4.342        22000        -0.84    -2.4    -2.35    -4.7      5.7e3 
B3      4.271 	     18700 	  -0.71    -1.6    -1.94    -3.5      1.9e3
B5 	4.188 	     15400 	  -0.58    -1.2    -1.46    -2.7      8.3e2 
B6 	4.146 	     14000 	  -0.50    -0.9    -1.21    -2.1      500.0 
B7 	4.115 	     13000 	  -0.43    -0.6    -1.02    -1.6      320.0
B8 	4.077 	     11900 	  -0.34    -0.2    -0.80    -1.0      180.0 
B9 	4.022 	     10500 	  -0.20    +0.2    -0.51    -0.3       95.0
A0	3.978	      9520	  -0.02	    0.6	   -0.30     0.3      54.0
A1	3.965	      9230	   0.01	    1.0	   -0.23     0.8      35.0
A2	3.953	      8970	   0.05	    1.3	   -0.20     1.1      26.0
A3	3.940	      8720	   0.08	    1.5	   -0.17     1.3      21.0
A5	3.914	      8200	   0.15	    1.9	   -0.15     1.7      14.0
A7	3.895	      7850	   0.20	    2.2	   -0.12     2.1      10.5	
A8	3.880	      7580	   0.25	    2.4	   -0.10     2.3       8.6
F0	3.857	      7200	   0.30	    2.7	   -0.09     2.6       6.5
F2	3.838	      6890	   0.35	    3.6	   -0.11     3.5       2.9
F5	3.809	      6440	   0.44	    3.5	   -0.14     3.4       3.2
F8	3.792	      6200	   0.52	    4.0	   -0.16     3.8       2.1
G0	3.780	      6030	   0.58	    4.4	   -0.18     4.2       1.5
G2	3.768	      5860	   0.63	    4.7	   -0.20     4.5       1.1
G5	3.760	      5770	   0.68	    5.1	   -0.21     4.9       0.79
G8	3.746	      5570	   0.74	    5.5	   -0.40     5.1       0.66
