# This spectrum, originally implemented in March 2004, was based on STIS
# observations and a 2003 Kurucz model. It was replaced 
# in September 2006 by a more recent spectrum described in Bohlin
# 2007, THE FUTURE OF PHOTOMETRIC, SPECTROPHOTOMETRIC AND POLARIMETRIC
# STANDARDIZATION, ASP Conference Series (in press).
#....................................................................
#
#      WAVELENGTH            FLUX
#       angstroms            flam
      900.452  1.238105E-17
      901.354  1.675596E-17
      902.258  1.780024E-17
      903.163  1.823535E-17
      904.068  1.865465E-17
      904.974  1.916888E-17
      905.882  1.969102E-17
       906.79  2.018942E-17
      907.699  2.070365E-17
      908.609  2.122579E-17
       909.52  2.175584E-17
      910.431  2.230963E-17
      911.344  2.290297E-17
      912.258  2.370991E-17
      913.172  2.594088E-17
      914.088  4.712712E-17
      915.004  3.635995E-16
      915.921  2.352004E-15
       916.84  6.846367E-15
      917.759  1.151873E-14
      918.679  1.536358E-14
        919.6  1.939039E-14
      920.522  2.222261E-14
      921.445  2.622568E-14
      922.368  2.901043E-14
      923.293  3.128095E-14
      924.219  4.598790E-14
      925.145  4.666827E-14
      926.073  3.617008E-14
      927.001  5.052103E-14
       927.93  7.502998E-14
       928.86  7.775935E-14
      929.792  5.643070E-14
      930.724  3.994373E-14
      931.657  6.025182E-14
      932.591  9.390614E-14
      933.526  1.151082E-13
      934.462  1.215163E-13
      935.398  1.131304E-13
      936.336  8.686515E-14
      937.275  5.350355E-14
      938.214  5.322666E-14
      939.155  9.208656E-14
      940.096  1.285573E-13
      941.039  1.490473E-13
      941.982  1.615470E-13
      942.927  1.684298E-13
      943.872  1.706449E-13
      944.818  1.617844E-13
      945.765  1.554554E-13
      946.714  1.587781E-13
      947.663  1.437468E-13
      948.613  1.003933E-13
      949.564  6.283879E-14
      950.516  8.789361E-14
      951.468  1.477024E-13
      952.422  1.870211E-13
      953.377  2.080650E-13
      954.333  2.310866E-13
       955.29  2.547412E-13
      956.247  2.756268E-13
      957.206  2.914492E-13
      958.166  2.964333E-13
      959.126  2.983320E-13
      960.088  2.972244E-13
       961.05  3.033951E-13
      962.014  3.109899E-13
      962.978  3.087748E-13
      963.943  2.931897E-13
       964.91  2.924777E-13
      965.877  3.193758E-13
      966.845  3.381254E-13
      967.815  3.368596E-13
      968.785  3.207207E-13
      969.756  2.848038E-13
      970.728  2.191407E-13
      971.701  1.294275E-13
      972.675  9.058342E-14
      973.651  1.568003E-13
      974.627  2.566398E-13
      975.604  3.307680E-13
      976.582  3.764948E-13
      977.561  3.992791E-13
      978.541  4.138357E-13
      979.522  4.282341E-13
      980.504  4.370156E-13
      981.487  4.420788E-13
      982.471  4.514140E-13
      983.456  4.601955E-13
      984.442  4.561607E-13
      985.428  4.586923E-13
      986.416  4.727743E-13
      987.405  4.583759E-13
      988.395  4.248323E-13
      989.386  3.954817E-13
      990.378  3.911305E-13
      991.371  4.370156E-13
      992.365  4.734863E-13
      993.359  4.847993E-13
      994.355  4.617777E-13
      995.352  4.664453E-13
       996.35  4.932643E-13
      997.349  5.046565E-13
      998.349  5.150202E-13
      999.349  5.264124E-13
     1000.351  5.422348E-13
     1001.354  5.598768E-13
     1002.358  5.731676E-13
     1003.363  5.843224E-13
     1004.369  5.888318E-13
     1005.376  5.889109E-13
     1006.384  5.883572E-13
     1007.392  5.929457E-13
     1008.402  6.011733E-13
     1009.413  6.069485E-13
     1010.425  6.198438E-13
     1011.438  6.315524E-13
     1012.452  6.365365E-13
     1013.467  6.473748E-13
     1014.483  6.551278E-13
       1015.5  6.657289E-13
     1016.518  6.850322E-13
     1017.537  6.911239E-13
     1018.557  6.835291E-13
     1019.578  6.715831E-13
     1020.601  6.517260E-13
     1021.624  6.228501E-13
     1022.648  5.544971E-13
     1023.673  4.239621E-13
     1024.699  2.498362E-13
     1025.727  1.525282E-13
     1026.755  2.525260E-13
     1027.784  4.358289E-13
     1028.815  5.918381E-13
     1029.846  7.001426E-13
     1030.878  7.598723E-13
     1031.912  8.037796E-13
     1032.946  8.441268E-13
     1033.982  8.678604E-13
     1035.018  8.662782E-13
     1036.056  8.196020E-13
     1037.095  8.172287E-13
     1038.134  8.987142E-13
     1039.175  9.517193E-13
     1040.217  9.730796E-13
      1041.26  9.896931E-13
     1042.303  9.936487E-13
     1043.348  9.920666E-13
     1044.394  1.007889E-12
     1045.441  1.030040E-12
     1046.489  1.049818E-12
     1047.539  1.054565E-12
     1048.589  1.061685E-12
      1049.64  1.095703E-12
     1050.692  1.120228E-12
     1051.745  1.128139E-12
       1052.8  1.140006E-12
     1053.855  1.159784E-12
     1054.912  1.175607E-12
     1055.969  1.200131E-12
     1057.028  1.228612E-12
     1058.088  1.246017E-12
     1059.148  1.242852E-12
      1060.21  1.248390E-12
     1061.273  1.276870E-12
     1062.337  1.272124E-12
     1063.402  1.263421E-12
     1064.468  1.300604E-12
     1065.535  1.310097E-12
     1066.603  1.295857E-12
     1067.673  1.294275E-12
     1068.743  1.321173E-12
     1069.814  1.382089E-12
     1070.887  1.422437E-12
      1071.96  1.439841E-12
     1073.035  1.446961E-12
     1074.111  1.471486E-12
     1075.188  1.500758E-12
     1076.266  1.530820E-12
     1077.344  1.571959E-12
     1078.424  1.603604E-12
     1079.505  1.632875E-12
     1080.588  1.658191E-12
     1081.671  1.666102E-12
     1082.755  1.665311E-12
     1083.841  1.632875E-12
     1084.927  1.620217E-12
     1086.015  1.689836E-12
     1087.104  1.780024E-12
     1088.194  1.815624E-12
     1089.285  1.834611E-12
     1090.377  1.840149E-12
      1091.47  1.856762E-12
     1092.564  1.904230E-12
     1093.659  1.944577E-12
     1094.756  1.942204E-12
     1095.853  1.856762E-12
     1096.952  1.769739E-12
     1098.051  1.825118E-12
     1099.152  1.918470E-12
     1100.254  2.044258E-12
     1101.357  2.236501E-12
     1102.461  2.427161E-12
     1103.566  2.604372E-12
     1104.673  2.742819E-12
      1105.78  2.937435E-12
     1106.889  3.311635E-12
     1107.998  4.326644E-12
     1109.109  7.512491E-12
     1110.221  1.479398E-11
     1111.334  2.317986E-11
     1112.448  3.283155E-11
     1113.563  3.742796E-11
      1114.68  4.600372E-11
     1115.797  8.148553E-11
     1116.916  8.219753E-11
     1118.035  7.950773E-11
     1119.156  1.132095E-10
     1120.278  1.102032E-10
     1121.401  7.164398E-11
     1122.526  6.953959E-11
     1123.651  1.278452E-10
     1124.777  1.575914E-10
     1125.905  1.610724E-10
     1127.034  1.336996E-10
     1128.164  8.203931E-11
     1129.295  5.935786E-11
     1130.427  9.651684E-11
      1131.56  1.453290E-10
     1132.694  1.506296E-10
      1133.83  1.321964E-10
     1134.966  1.452499E-10
     1136.104  1.799011E-10
     1137.243  1.763410E-10
     1138.383  1.253137E-10
     1139.525  6.949212E-11
     1140.667  7.321831E-11
      1141.81  1.037160E-10
     1142.955  1.065641E-10
     1144.101  1.105197E-10
     1145.248  1.441424E-10
     1146.396  1.537940E-10
     1147.545  1.461993E-10
     1148.696  1.583825E-10
     1149.847  1.687462E-10
        1151.  1.682716E-10
     1152.154  1.575123E-10
     1153.309  1.496011E-10
     1154.465  1.571959E-10
     1155.622  1.479397E-10
     1156.781  1.105197E-10
     1157.941  7.690493E-11
     1159.101  8.860562E-11
     1160.263  1.236523E-10
     1161.427  1.355982E-10
     1162.591  1.298231E-10
     1163.756  1.117064E-10
     1164.923  1.003933E-10
     1166.091  9.303591E-11
      1167.26  7.823402E-11
      1168.43  6.716622E-11
     1169.601  5.923919E-11
     1170.774  5.161278E-11
     1171.948  5.154157E-11
     1173.123  5.174727E-11
     1174.299  4.712711E-11
     1175.476  4.166046E-11
     1176.654  3.778397E-11
     1177.834  3.524447E-11
     1179.015  3.079045E-11
     1180.197  2.464344E-11
      1181.38  2.105175E-11
     1182.564  1.919261E-11
      1183.75  1.677178E-11
     1184.936  1.497593E-11
     1186.124  1.381298E-11
     1187.313  1.236523E-11
     1188.504  9.960221E-12
     1189.695  7.849508E-12
     1190.888  7.669925E-12
     1192.082  7.418347E-12
     1193.277  5.617755E-12
     1194.473  5.386747E-12
      1195.67  6.946048E-12
     1196.869  7.296515E-12
     1198.069  7.085285E-12
      1199.27  6.836082E-12
     1200.472  6.569474E-12
     1201.676  6.746685E-12
      1202.88  6.714249E-12
     1204.086  6.280715E-12
     1205.293  5.716645E-12
     1206.502  5.122513E-12
     1207.711  4.522842E-12
     1208.922  3.851971E-12
     1210.134  3.102779E-12
     1211.347  2.296626E-12
     1212.561  1.477024E-12
     1213.777  7.557585E-13
     1214.994  3.003889E-13
     1216.212  2.836171E-13
     1217.431  7.333697E-13
     1218.652  1.503131E-12
     1219.873  2.422414E-12
     1221.096  3.386000E-12
      1222.32  4.328227E-12
     1223.546  5.197669E-12
     1224.772  6.022809E-12
        1226.  6.840829E-12
     1227.229  7.597932E-12
      1228.46  8.346333E-12
     1229.691  9.145366E-12
     1230.924  9.960221E-12
     1232.158  1.079881E-11
     1233.393  1.153455E-11
      1234.63  1.241270E-11
     1235.867  1.333831E-11
     1237.106  1.428766E-11
     1238.346  1.521327E-11
     1239.588  1.626546E-11
     1240.831  1.785561E-11
     1242.074  1.930337E-11
      1243.32  2.132864E-11
     1244.566  2.533963E-11
     1245.814  3.005471E-11
     1247.063  3.659729E-11
     1248.313  4.799735E-11
     1249.564  6.384351E-11
     1250.817  8.828917E-11
     1252.071  1.298231E-10
     1253.326  1.765783E-10
     1254.583  2.316404E-10
      1255.84  2.892341E-10
       1257.2  2.977960E-10
       1258.4  3.042384E-10
       1259.5  2.924703E-10
       1260.7  3.313514E-10
       1261.9  5.340625E-10
       1263.1  5.730611E-10
       1264.3  5.331515E-10
       1265.4  6.302789E-10
       1266.6  7.334621E-10
       1267.8   1.003518E-9
        1269.   1.191490E-9
       1270.2   1.174189E-9
       1271.3   1.227657E-9
       1272.5   1.177938E-9
       1273.7   1.065538E-9
       1274.9   1.024933E-9
       1276.1   1.107640E-9
       1277.2   1.299480E-9
       1278.4   1.502391E-9
       1279.6   1.750759E-9
       1280.8   2.033498E-9
        1282.   2.229433E-9
       1283.1   2.344665E-9
       1284.3   2.275177E-9
       1285.5   2.099736E-9
       1286.7   2.049720E-9
       1287.9   2.049399E-9
        1289.   2.249461E-9
       1290.2   2.471238E-9
       1291.4   2.653989E-9
       1292.6   2.844283E-9
       1293.8   2.932645E-9
       1294.9   2.992713E-9
       1296.1   2.974035E-9
       1297.3   2.899569E-9
       1298.5   2.750808E-9
       1299.7   2.545829E-9
       1300.8   2.139409E-9
        1302.   1.917177E-9
       1303.2   1.929572E-9
       1304.4   1.967637E-9
       1305.6   1.962825E-9
       1306.7   2.040928E-9
       1307.9   2.097918E-9
       1309.1   2.097531E-9
       1310.3   2.320612E-9
       1311.5   2.704141E-9
       1312.6   3.157581E-9
       1313.8   3.593015E-9
        1315.   3.903470E-9
       1316.2   4.008612E-9
       1317.3   4.078348E-9
       1318.5   4.217470E-9
       1319.7   4.325857E-9
       1320.9   4.323084E-9
       1322.1   4.220123E-9
       1323.2   4.218862E-9
       1324.4   4.053760E-9
       1325.6   4.051860E-9
       1326.8   4.079436E-9
        1328.   4.076630E-9
       1329.1   4.003728E-9
       1330.3   4.117030E-9
       1331.5   3.797102E-9
       1332.7   3.454943E-9
       1333.9   3.322848E-9
        1335.   3.621423E-9
       1336.2   4.036514E-9
       1337.4   4.747442E-9
       1338.6   5.156346E-9
       1339.8   5.339787E-9
       1340.9   5.403012E-9
       1342.1   5.384556E-9
       1343.3   5.551078E-9
       1344.5   5.370092E-9
       1345.7   5.384948E-9
       1346.8   5.326606E-9
