# SIMPLE  =                    T / Written by IDL:  Tue Aug 19 16:14:18 2008
# BITPIX  =                  -32 / Number of bits per data pixel
# NAXIS   =                    2 / Number of data axes
# NAXIS1  =                21617 /
# NAXIS2  =                    3 /
# DATE    = '2008-08-20'         / Creation UTC (CCCC-MM-DD) date of FITS header
# NORDERS =                    1 / Number of Orders
# ORDERS  = '1       '           / Order Numbers
# NAPS    =                    1 / Number of Apertures
# XUNITS  = 'A      '           / Wavelength Units
# YUNITS  = 'ergss-1cm-2A-1'     / Flux Units
# COMMENT FITS (Flexible Image Transport System) format is defined in 'Astronomy
# COMMENT and Astrophysics', volume 376, page 359; bibcode 2001A&A...376..359H
# Converted vacuum by Feige Wang
# END
#      WAVELENGTH            FLUX    Flag
#       angstroms            flam     none
             900.092   1.68166e-17    1.0  
             903.057   1.82567e-17    1.0  
   906.0219999999999   1.98043e-17    1.0  
             908.986   2.14741e-17    1.0  
             911.951   2.33491e-17    1.0  
             914.916    3.9153e-17    1.0  
             917.881   1.24083e-14    1.0  
             920.846   5.91443e-15    1.0  
   923.8109999999999   3.83503e-14    1.0  
             926.776   3.58987e-14    1.0  
             929.741   6.53783e-14    1.0  
   932.7059999999999   9.75846e-14    1.0  
             935.671   1.11801e-13    1.0  
   938.6360000000001    6.1807e-14    1.0  
             941.601   1.42618e-13    1.0  
             944.566   1.90657e-13    1.0  
   947.5310000000001   1.69236e-13    1.0  
             950.496    8.2041e-14    1.0  
             953.461   1.90146e-13    1.0  
   956.4259999999999   2.81627e-13    1.0  
             959.391   3.09287e-13    1.0  
             962.356   3.18095e-13    1.0  
              965.32   2.86296e-13    1.0  
             968.285   3.41194e-13    1.0  
              971.25   1.92463e-13    1.0  
   974.2149999999999   2.36766e-13    1.0  
              977.18   4.04722e-13    1.0  
   980.1450000000001   4.31981e-13    1.0  
   983.1099999999999   4.63319e-13    1.0  
             986.075   5.07954e-13    1.0  
   989.0400000000001   5.16563e-13    1.0  
             992.005   5.02715e-13    1.0  
              994.97   4.21602e-13    1.0  
             997.935   5.30701e-13    1.0  
              1000.9   5.24317e-13    1.0  
             1003.86   5.97534e-13    1.0  
  1006.8299999999999   6.18875e-13    1.0  
             1009.79    6.2396e-13    1.0  
  1012.7600000000001    6.5442e-13    1.0  
  1015.7199999999999   6.84247e-13    1.0  
             1018.69   6.71514e-13    1.0  
  1021.6500000000001   6.44513e-13    1.0  
             1024.62   2.69089e-13    1.0  
             1027.58    4.4396e-13    1.0  
             1030.55   7.68605e-13    1.0  
             1033.51   8.58145e-13    1.0  
             1036.48   7.23046e-13    1.0  
             1039.44   9.70475e-13    1.0  
             1042.41   1.01487e-12    1.0  
  1045.3700000000001   1.05195e-12    1.0  
             1048.34   9.74082e-13    1.0  
              1051.3   1.13754e-12    1.0  
             1054.27   1.20096e-12    1.0  
             1057.23    1.2359e-12    1.0  
              1060.2   1.29845e-12    1.0  
  1063.1599999999999   1.06502e-12    1.0  
  1066.1299999999999   1.40376e-12    1.0  
  1069.0900000000001   1.21208e-12    1.0  
             1072.06   1.52484e-12    1.0  
             1075.02   1.55997e-12    1.0  
             1077.99   1.63598e-12    1.0  
             1080.95   1.70068e-12    1.0  
             1083.92   1.51383e-12    1.0  
             1086.88   1.83926e-12    1.0  
             1089.85   1.81385e-12    1.0  
             1092.81   1.98483e-12    1.0  
             1095.78   1.84647e-12    1.0  
             1098.74   1.96512e-12    1.0  
             1101.71   2.57695e-12    1.0  
  1104.6699999999998   2.88632e-12    1.0  
             1107.64    3.3666e-12    1.0  
  1110.6000000000001   2.24486e-11    1.0  
             1113.57   1.14385e-10    1.0  
             1116.53   1.66058e-10    1.0  
              1119.5    1.6074e-10    1.0  
             1122.46   3.02758e-12    1.0  
             1125.43   1.50998e-10    1.0  
  1128.3899999999999   3.44855e-11    1.0  
             1131.36   2.17219e-10    1.0  
  1134.3200000000002   9.45158e-11    1.0  
             1137.29   1.71964e-10    1.0  
             1140.25   1.55858e-11    1.0  
             1143.22   4.78448e-11    1.0  
             1146.18   2.51943e-10    1.0  
             1149.15    2.7942e-10    1.0  
             1152.11   6.12925e-11    1.0  
             1155.08   2.35774e-10    1.0  
             1158.04    3.2715e-11    1.0  
             1161.01   1.62925e-10    1.0  
             1163.97   1.06786e-10    1.0  
             1166.94   5.86506e-11    1.0  
  1169.8999999999999   4.83342e-11    1.0  
  1172.8700000000001   6.58221e-11    1.0  
             1175.83   3.06956e-11    1.0  
              1178.8   3.35995e-11    1.0  
             1181.76   2.23614e-11    1.0  
             1184.73   1.54814e-11    1.0  
             1187.69   1.25187e-11    1.0  
             1190.66     6.517e-12    1.0  
             1193.62   5.22604e-12    1.0  
             1196.59   8.46345e-12    1.0  
             1199.55   5.35525e-12    1.0  
             1202.52   6.99969e-12    1.0  
             1205.48   5.67531e-12    1.0  
             1208.45     4.161e-12    1.0  
             1211.41   2.24805e-12    1.0  
             1214.38   3.46771e-13    1.0  
             1217.34   5.86668e-13    1.0  
             1220.31   2.79888e-12    1.0  
             1223.27   5.10904e-12    1.0  
             1226.24   7.11046e-12    1.0  
              1229.2   8.91548e-12    1.0  
  1232.1699999999998   1.10984e-11    1.0  
  1235.1299999999999   1.29877e-11    1.0  
